Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2022-01-01,"Banco Agrícola, S.A.",61,Ingresos de operaciones de intermediación,Ingreso,32921.64919
2022-01-01,"Banco Agrícola, S.A.",6110,Ingresos de operaciones de intermediación,Ingreso,32921.64919
2022-01-01,"Banco Agrícola, S.A.",62,Ingresos de otras operaciones,Ingreso,6308.52016
2022-01-01,"Banco Agrícola, S.A.",6210,Ingresos de otras operaciones,Ingreso,6308.52016
2022-01-01,"Banco Agrícola, S.A.",63,Ingresos no operacionales,Ingreso,2603.22306
2022-01-01,"Banco Agrícola, S.A.",6310,Ingresos no operacionales,Ingreso,2603.22306
2022-01-01,"Banco Agrícola, S.A.",71,Costos de operaciones de intermediación,Costo,10403.10035
2022-01-01,"Banco Agrícola, S.A.",7110,Captación de recursos,Costo,6932.61219
2022-01-01,"Banco Agrícola, S.A.",7120,Saneamiento de activos de intermediación,Costo,3470.48816
2022-01-01,"Banco Agrícola, S.A.",7130,Castigos de activos de intermediación,Costo,0.0
2022-01-01,"Banco Agrícola, S.A.",72,Costos de otras operaciones,Costo,3651.26631
2022-01-01,"Banco Agrícola, S.A.",7210,Operaciones en moneda extranjera,Costo,0.11023
2022-01-01,"Banco Agrícola, S.A.",7220,Cartas de crédito,Costo,0.0
2022-01-01,"Banco Agrícola, S.A.",7230,Avales y fianzas,Costo,0.0
2022-01-01,"Banco Agrícola, S.A.",7240,Prestación de servicios,Costo,3550.78589
2022-01-01,"Banco Agrícola, S.A.",7250,Saneamientos,Costo,100.37019
2022-01-01,"Banco Agrícola, S.A.",7260,Castigos de contingencias,Costo,0.0
2022-01-01,"Banco Agrícola, S.A.",81,Gastos de operación,Gasto,12212.88149
2022-01-01,"Banco Agrícola, S.A.",8110,Gastos de funcionarios y empleados,Gasto,6145.64271
2022-01-01,"Banco Agrícola, S.A.",8120,Gastos generales,Gasto,4722.53446
2022-01-01,"Banco Agrícola, S.A.",8130,depreciaciones y amortizaciones,Gasto,1344.70432
2022-01-01,"Banco Agrícola, S.A.",82,Gastos no operacionales,Gasto,349.99381
2022-01-01,"Banco Agrícola, S.A.",8210,Gastos de ejercicios anteriores,Gasto,56.76211
2022-01-01,"Banco Agrícola, S.A.",8220,Perdidas en venta de activos,Gasto,30.1063
2022-01-01,"Banco Agrícola, S.A.",8230,Gastos por explotacion de activos,Gasto,0.0
2022-01-01,"Banco Agrícola, S.A.",8240,Castigos de bienes recibidos en pago o adjudicados,Gasto,98.21003
2022-01-01,"Banco Agrícola, S.A.",8250,Gastos por diferencias temporarias de impuestos sobre las ganancias,Gasto,141.05874
2022-01-01,"Banco Agrícola, S.A.",8260,Perdidas por contingencias,Gasto,0.0
2022-01-01,"Banco Agrícola, S.A.",8270,Otros,Gasto,23.85663
