Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2023-01-01,"Banco Agrícola, S.A.",61,Ingresos de operaciones de intermediación,Ingreso,37181.23072
2023-01-01,"Banco Agrícola, S.A.",6110,Ingresos de operaciones de intermediación,Ingreso,37181.23072
2023-01-01,"Banco Agrícola, S.A.",62,Ingresos de otras operaciones,Ingreso,6817.36034
2023-01-01,"Banco Agrícola, S.A.",6210,Ingresos de otras operaciones,Ingreso,6817.36034
2023-01-01,"Banco Agrícola, S.A.",63,Ingresos no operacionales,Ingreso,2152.14326
2023-01-01,"Banco Agrícola, S.A.",6310,Ingresos no operacionales,Ingreso,2152.14326
2023-01-01,"Banco Agrícola, S.A.",71,Costos de operaciones de intermediación,Costo,15566.88046
2023-01-01,"Banco Agrícola, S.A.",7110,Captación de recursos,Costo,10422.65686
2023-01-01,"Banco Agrícola, S.A.",7120,Saneamiento de activos de intermediación,Costo,5144.2236
2023-01-01,"Banco Agrícola, S.A.",7130,Castigos de activos de intermediación,Costo,0.0
2023-01-01,"Banco Agrícola, S.A.",72,Costos de otras operaciones,Costo,4143.3991
2023-01-01,"Banco Agrícola, S.A.",7210,Operaciones en moneda extranjera,Costo,47.87764
2023-01-01,"Banco Agrícola, S.A.",7220,Cartas de crédito,Costo,0.0
2023-01-01,"Banco Agrícola, S.A.",7230,Avales y fianzas,Costo,0.0
2023-01-01,"Banco Agrícola, S.A.",7240,Prestación de servicios,Costo,3911.08267
2023-01-01,"Banco Agrícola, S.A.",7250,Saneamientos,Costo,184.43879
2023-01-01,"Banco Agrícola, S.A.",7260,Castigos de contingencias,Costo,0.0
2023-01-01,"Banco Agrícola, S.A.",81,Gastos de operación,Gasto,11704.0588
2023-01-01,"Banco Agrícola, S.A.",8110,Gastos de funcionarios y empleados,Gasto,5782.93169
2023-01-01,"Banco Agrícola, S.A.",8120,Gastos generales,Gasto,4464.14331
2023-01-01,"Banco Agrícola, S.A.",8130,depreciaciones y amortizaciones,Gasto,1456.9838
2023-01-01,"Banco Agrícola, S.A.",82,Gastos no operacionales,Gasto,1031.81731
2023-01-01,"Banco Agrícola, S.A.",8210,Gastos de ejercicios anteriores,Gasto,23.00647
2023-01-01,"Banco Agrícola, S.A.",8220,Perdidas en venta de activos,Gasto,246.072
2023-01-01,"Banco Agrícola, S.A.",8230,Gastos por explotacion de activos,Gasto,0.0
2023-01-01,"Banco Agrícola, S.A.",8240,Castigos de bienes recibidos en pago o adjudicados,Gasto,81.47148
2023-01-01,"Banco Agrícola, S.A.",8250,Gastos por diferencias temporarias de impuestos sobre las ganancias,Gasto,641.60327
2023-01-01,"Banco Agrícola, S.A.",8260,Perdidas por contingencias,Gasto,0.0
2023-01-01,"Banco Agrícola, S.A.",8270,Otros,Gasto,39.66409
2023-01-01,"Banco Agrícola, S.A.",83,Impuestos directos,Gasto,3531.40396
2023-01-01,"Banco Agrícola, S.A.",8310,Impuesto sobre la renta,Gasto,3531.40396
2023-01-01,"Banco Agrícola, S.A.",84,Contribuciones especiales,Gasto,0.0
2023-01-01,"Banco Cuscatlán de El Salvador, S.A.",61,Ingresos de operaciones de intermediación,Ingreso,26066.61828
2023-01-01,"Banco Cuscatlán de El Salvador, S.A.",6110,Ingresos de operaciones de intermediación,Ingreso,26066.61828
2023-01-01,"Banco Cuscatlán de El Salvador, S.A.",62,Ingresos de otras operaciones,Ingreso,1529.90533
