Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2024-01-01,"Banco Cuscatlán de El Salvador, S.A.",7299,Costos por explotación de activos,Costo,0.0
2024-01-01,"Banco Cuscatlán de El Salvador, S.A.",81,Gastos de administración,Gasto,12396.55406
2024-01-01,"Banco Cuscatlán de El Salvador, S.A.",8110,Gastos de funcionarios y empleados,Gasto,5674.20209
2024-01-01,"Banco Cuscatlán de El Salvador, S.A.",8120,Gastos generales,Gasto,3447.17965
2024-01-01,"Banco Cuscatlán de El Salvador, S.A.",8130,Depreciaciones y amortizaciones,Gasto,2009.11759
2024-01-01,"Banco Cuscatlán de El Salvador, S.A.",8140,Provisiones,Gasto,46.43095
2024-01-01,"Banco Cuscatlán de El Salvador, S.A.",8150,Gasto por impuesto sobre las ganancias,Gasto,1219.62378
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",61,Ingresos financieros,Ingreso,24400.03354
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",6110,Ingresos financieros,Ingreso,24143.14564
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",6111,Ganancia por cambios en el VR de activos financieros y pasivos financieros,Ingreso,4.71689
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",6112,Ganancia por reversión de deterioro de activos financieros,Ingreso,252.17101
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",6113,Ganancia por venta de inversiones financieras,Ingreso,0.0
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",62,Otros ingresos financieros,Ingreso,2768.06936
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",6210,Otros ingresos financieros,Ingreso,2768.06936
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",63,Ingresos de otras operaciones,Ingreso,1753.99129
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",6310,Ingresos de otras operaciones,Ingreso,1753.99129
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",71,Costos financieros,Costo,16037.86299
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",711,Costos financieros,Costo,9776.44795
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7110,Costos de pasivos financieros,Costo,9690.1657
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7111,Pérdida por cambios en el vr de activos financieros y pasivos financieros,Costo,0.0
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7112,Pérdidas por deterioro de activos financieros,Costo,86.25097
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7113,Pérdida por venta de inversiones financieras,Costo,0.0
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7114,Otros costos financieros,Costo,0.03128
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7120,Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),Costo,6261.41504
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",713,Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),Costo,0.0
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",72,Costos de otras operaciones,Costo,2140.42243
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7210,Comisiones de otros servicios,Costo,2066.89844
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7211,Pérdidas generadas por entidades registradas bajo el método de la participación,Costo,0.0013
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7212,Pérdidas por operaciones en moneda extranjera,Costo,0.0
2024-01-01,"Banco Davivienda Salvadoreño, S.A.",7213,Pérdida por importes ineficaces en operaciones de cobertura,Costo,0.0
