Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2025-01-01,"Banco Agrícola, S.A.",61,Ingresos financieros,Ingreso,46171.54406
2025-01-01,"Banco Agrícola, S.A.",6110,Ingresos financieros,Ingreso,44742.391950000005
2025-01-01,"Banco Agrícola, S.A.",6111,Ganancia por cambios en el VR de activos financieros y pasivos financieros,Ingreso,796.94049
2025-01-01,"Banco Agrícola, S.A.",6112,Ganancia por reversión de deterioro de activos financieros,Ingreso,614.04529
2025-01-01,"Banco Agrícola, S.A.",6113,Ganancia por venta de inversiones financieras,Ingreso,18.16633
2025-01-01,"Banco Agrícola, S.A.",62,Otros ingresos financieros,Ingreso,8578.688199999999
2025-01-01,"Banco Agrícola, S.A.",6210,Otros ingresos financieros,Ingreso,8578.688199999999
2025-01-01,"Banco Agrícola, S.A.",63,Ingresos de otras operaciones,Ingreso,3270.60196
2025-01-01,"Banco Agrícola, S.A.",6310,Ingresos de otras operaciones,Ingreso,3270.60196
2025-01-01,"Banco Agrícola, S.A.",71,Costos financieros,Costo,18754.45776
2025-01-01,"Banco Agrícola, S.A.",711,Costos financieros,Costo,10734.59227
2025-01-01,"Banco Agrícola, S.A.",7110,Costos de pasivos financieros,Costo,9894.4702
2025-01-01,"Banco Agrícola, S.A.",7111,Pérdida por cambios en el vr de activos financieros y pasivos financieros,Costo,714.0597700000001
2025-01-01,"Banco Agrícola, S.A.",7112,Pérdidas por deterioro de activos financieros,Costo,116.26636
2025-01-01,"Banco Agrícola, S.A.",7113,Pérdida por venta de inversiones financieras,Costo,4.96562
2025-01-01,"Banco Agrícola, S.A.",7114,Otros costos financieros,Costo,4.83032
2025-01-01,"Banco Agrícola, S.A.",7120,Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),Costo,8019.86549
2025-01-01,"Banco Agrícola, S.A.",713,Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),Costo,0.0
2025-01-01,"Banco Agrícola, S.A.",72,Costos de otras operaciones,Costo,7016.75083
