Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2021-01-01,"Banco Agrícola, S.A.",61,Ingresos de operaciones de intermediación,Ingreso,29190.19018
2021-01-01,"Banco Agrícola, S.A.",6110,Ingresos de operaciones de intermediación,Ingreso,29190.19018
2021-01-01,"Banco Agrícola, S.A.",62,Ingresos de otras operaciones,Ingreso,5849.30529
2021-01-01,"Banco Agrícola, S.A.",6210,Ingresos de otras operaciones,Ingreso,5849.30529
2021-01-01,"Banco Agrícola, S.A.",63,Ingresos no operacionales,Ingreso,3727.63368
2021-01-01,"Banco Agrícola, S.A.",6310,Ingresos no operacionales,Ingreso,3727.63368
2021-01-01,"Banco Agrícola, S.A.",71,Costos de operaciones de intermediación,Costo,14483.12938
2021-01-01,"Banco Agrícola, S.A.",7110,Captación de recursos,Costo,7125.29032
2021-01-01,"Banco Agrícola, S.A.",7120,Saneamiento de activos de intermediación,Costo,7357.83906
2021-01-01,"Banco Agrícola, S.A.",7130,Castigos de activos de intermediación,Costo,0.0
2021-01-01,"Banco Agrícola, S.A.",72,Costos de otras operaciones,Costo,2944.87655
2021-01-01,"Banco Agrícola, S.A.",7210,Operaciones en moneda extranjera,Costo,0.11687
2021-01-01,"Banco Agrícola, S.A.",7220,Cartas de crédito,Costo,0.0
2021-01-01,"Banco Agrícola, S.A.",7230,Avales y fianzas,Costo,0.0
2021-01-01,"Banco Agrícola, S.A.",7240,Prestación de servicios,Costo,2320.12055
2021-01-01,"Banco Agrícola, S.A.",7250,Saneamientos,Costo,624.63913
2021-01-01,"Banco Agrícola, S.A.",7260,Castigos de contingencias,Costo,0.0
2021-01-01,"Banco Agrícola, S.A.",81,Gastos de operación,Gasto,9913.27661
2021-01-01,"Banco Agrícola, S.A.",8110,Gastos de funcionarios y empleados,Gasto,5188.73283
2021-01-01,"Banco Agrícola, S.A.",8120,Gastos generales,Gasto,3683.6601
2021-01-01,"Banco Agrícola, S.A.",8130,depreciaciones y amortizaciones,Gasto,1040.88368
2021-01-01,"Banco Agrícola, S.A.",82,Gastos no operacionales,Gasto,455.98414
2021-01-01,"Banco Agrícola, S.A.",8210,Gastos de ejercicios anteriores,Gasto,61.29911
2021-01-01,"Banco Agrícola, S.A.",8220,Perdidas en venta de activos,Gasto,243.16901
2021-01-01,"Banco Agrícola, S.A.",8230,Gastos por explotacion de activos,Gasto,0.0
2021-01-01,"Banco Agrícola, S.A.",8240,Castigos de bienes recibidos en pago o adjudicados,Gasto,128.9423
2021-01-01,"Banco Agrícola, S.A.",8250,Gastos por diferencias temporarias de impuestos sobre las ganancias,Gasto,0.0
2021-01-01,"Banco Agrícola, S.A.",8260,Perdidas por contingencias,Gasto,0.0
2021-01-01,"Banco Agrícola, S.A.",8270,Otros,Gasto,22.57372
2021-01-01,"Banco Agrícola, S.A.",83,Impuestos directos,Gasto,3626.92973
2021-01-01,"Banco Agrícola, S.A.",8310,Impuesto sobre la renta,Gasto,3626.92973
2021-01-01,"Banco Agrícola, S.A.",84,Contribuciones especiales,Gasto,0.0
