Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de julio de 2024,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
61 Ingresos financieros,300714.35444,197231.70475,171140.85481999998,98922.01022,8969.24696,25464.502230000002,79612.39045,181960.44312,25256.20676,29579.386140000002,46963.96353,58865.39145,1224680.4548699998
6110 Ingresos financieros,288810.46681,197176.04747999998,169358.27995,98233.24629000001,8314.08474,25464.502230000002,77524.77953,181959.54728,25064.20676,29534.85015,44456.39103,55060.8427,1200957.24495
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,1740.14672,0,31.632849999999998,0,0,0,0,0,0,0,0,1403.9072800000001,3175.68685
6112 Ganancia por reversión de deterioro de activos financieros,10096.822400000001,55.65727,1750.15307,688.7639300000001,0,0,2087.61092,0.8958400000000001,0,44.53599,0,2400.51262,17124.95204
6113 Ganancia por venta de inversiones financieras,66.91851,0,0.78895,0,655.1622199999999,0,0,0,192,0,2507.5725,0.12885,3422.5710299999996
62 Otros ingresos financieros,55632.02615,12930.98082,18910.90726,3756.9641,5076.35435,1294.2556499999998,12818.15434,14974.85382,694.64008,578.40163,1876.13334,3185.1981499999997,131728.86969
6210 Otros ingresos financieros,55632.02615,12930.98082,18910.90726,3756.9641,5076.35435,1294.2556499999998,12818.15434,14974.85382,694.64008,578.40163,1876.13334,3185.1981499999997,131728.86969
63 Ingresos de otras operaciones,14074.54657,11675.066789999999,15860.12046,2299.36902,1061.4543899999999,708.5123100000001,4109.7509199999995,10797.231960000001,6927.01983,87.55736,2285.4019900000003,4870.621190000001,74756.65279000001
6310 Ingresos de otras operaciones,14074.54657,11675.066789999999,15860.12046,2299.36902,1061.4543899999999,708.5123100000001,4109.7509199999995,10797.231960000001,6927.01983,87.55736,2285.4019900000003,4870.621190000001,74756.65279000001
Total ingresos,370420.92716,221837.75236,205911.88254,104978.34334,15107.055699999999,27467.270190000003,96540.29570999999,207732.5289,32877.86667,30245.345129999998,51125.49886,66921.21079,1431165.9773499998
 ,0,0,0,0,0,0,0,0,0,0,0,0,0
Costos ,0,0,0,0,0,0,0,0,0,0,0,0,0
71 Costos financieros,122133.21625,102634.78090000001,107465.36718,70338.70281,822.72612,4336.94958,55473.068869999996,87026.66429,20723.77851,17023.50948,30360.35877,40656.65511,658995.77787
711 Costos financieros,75433.5406,66928.71686,66563.31039,58593.74123,614.90823,4336.94958,37709.89531,59484.16353,6173.77064,16856.97557,25063.8747,37953.87572,455713.72236
7110 Costos de pasivos financieros,71149.68579,66010.97879,65713.62289,58552.666450000004,614.07838,4323.73554,36607.3158,59448.22126,5381.317690000001,16846.36689,24793.71159,37897.04390999999,447338.74498
7111 Pérdida por cambios en el vr de activos financieros y pasivos financieros,1749.47327,0,0,0,0,0,0,0,0,0,0,0,1749.47327
7112 Pérdidas por deterioro de activos financieros,2479.07129,808.80218,824.56442,0,0.82985,13.21404,0,11.939350000000001,0,0,223.48310999999998,0,4361.90424
7113 Pérdida por venta de inversiones financieras,0.325,0,0,0,0,0,0,0,0,0,46.68,0,47.005
7114 Otros costos financieros,54.98525,108.93589,25.12308,41.07478,0,0,1102.57951,24.00292,792.45295,10.60868,0,56.83181,2216.59487
7120 Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),46699.67565,32656.5719,40902.05679,11744.96158,207.81789,0,17763.17356,27542.500760000003,14550.00787,160.61079999999998,5296.48407,2669.91946,200193.78033
713 Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),0,3049.4921400000003,0,0,0,0,0,0,0,5.923109999999999,0,32.85993,3088.27518
72 Costos de otras operaciones,38253.06777,2115.2479700000004,15497.65662,1526.6143200000001,1228.41328,935.21402,3566.50159,3762.04531,183.32876000000002,730.145,1491.56074,475.86346999999995,69765.65884999999
7210 Comisiones de otros servicios,37381.870090000004,1956.2918100000002,14856.280449999998,859.18661,1228.41326,818.57649,3183.17494,763.6030400000001,183.32876000000002,729.52472,1491.56074,430.13834,63881.94925
7211 Pérdidas generadas por entidades registradas bajo el método de la participación,0,29.03902,28.95939,0,0,0,0,0,0,0,0,0,57.99841000000001
7212 Pérdidas por operaciones en moneda extranjera,259.83807,1.1142400000000001,0,164.06938,2e-05,47.49597,0,2784.93154,0,0.6202799999999999,0,0,3258.0695
7213 Pérdida por importes ineficaces en operaciones de cobertura,0,0,0,0,0,0,0,0,0,0,0,0,0
7214 Pérdida por deterioro de valor de activos,197.22531,0,29.67202,0,0,3.0653699999999997,161.27073000000001,131.73911999999999,0,0,0,0,522.97255
7215 Pérdida en venta de activos,414.1343,12.91136,82.50141,93.4988,0,4,192.88944,63.38647,0,0,0,45.72513,909.04691
7299 Costos por explotación de activos,0,115.89153999999999,500.24334999999996,409.85953,0,62.076190000000004,29.16648,18.38514,0,0,0,0,1135.62223
Total costos,160386.28402000002,104750.02887000001,122963.0238,71865.31713,2051.1394,5272.1636,59039.57046,90788.70959999999,20907.10727,17753.65448,31851.919510000003,41132.518579999996,728761.43672
 ,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastos ,0,0,0,0,0,0,0,0,0,0,0,0,0
81 Gastos de administración,132223.24113,86417.13199,62147.47121,21446.60639,6385.6473,17584.485210000003,33456.48556,91080.58071,11311.38595,8313.33877,15840.67849,22763.415370000002,508970.46807999996
8110 Gastos de funcionarios y empleados,55632.16881,41079.65442,27481.03358,10609.26423,3113.26309,9811.50033,14195.4097,28658.88409,5511.98995,3820.47239,7125.99095,9107.0006,216146.63213999997
8120 Gastos generales,35572.21925,24509.069620000002,23593.1568,8905.48445,1251.9086499999999,4269.68391,14155.84533,38208.2822,4936.5495599999995,2116.58106,5334.28595,9013.05934,171866.12612
8130 Depreciaciones y amortizaciones,21157.91102,13645.91532,4182.43943,1931.85771,449.23765999999995,1798.00265,3422.3029500000002,6646.05754,862.8464399999999,1184.2232900000001,3046.5663799999998,3167.5838599999997,61494.94425
8140 Provisiones,0,265.76696000000004,2276.27869,0,0,0,26.432380000000002,9283.65076,0,0,333.83521,57.278870000000005,12243.24287
8150 Gasto por impuesto sobre las ganancias,19860.94205,6916.72567,4614.56271,0,1571.2378999999999,1705.29832,1656.4951999999998,8283.70612,0,1192.06203,0,1418.4927,47219.5227
Total gastos,132223.24113,86417.13199,62147.47121,21446.60639,6385.6473,17584.485210000003,33456.48556,91080.58071,11311.38595,8313.33877,15840.67849,22763.415370000002,508970.46807999996
 ,0,0,0,0,0,0,0,0,0,0,0,0,0
Total costos y gastos,292609.52515,191167.16086,185110.49500999998,93311.92352,8436.786699999999,22856.64881,92496.05601999999,181869.29031,32218.49322,26066.99325,47692.598,63895.933950000006,1237731.9048
 ,0,0,0,0,0,0,0,0,0,0,0,0,0
