Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de diciembre del 2024,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61 Ingresos financieros,520870.78916000004,349220.07416,297061.80469,172179.26922,15976.062880000001,44401.50531,138062.87026,320858.83043000003,46571.954979999995,52323.083009999995,86941.11334000001,45105.97137,103221.57642,2192794.90523
6110 Ingresos financieros,504568.28114,349164.41689,293912.42063999997,170747.13913,13846.02497,44401.50531,135430.55039,320858.83043000003,42848.13868,52275.7368,78819.40084,45105.97137,97433.96644,2149412.38303
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,3660.434,0,31.632849999999998,0,0,0,0,0,0,0,0,0,2165.78813,5857.85498
6112 Ganancia por reversión de deterioro de activos financieros,12551.077640000001,55.65727,3116.96225,1432.13009,0,0,2632.3198700000003,0,0,47.34621,0,0,2716.18019,22551.67352
6113 Ganancia por venta de inversiones financieras,90.99638,0,0.78895,0,2130.03791,0,0,0,3723.8163,0,8121.7125,0,905.64166,14972.993699999999
62 Otros ingresos financieros,99505.68756,22549.0556,34495.06949,6386.97098,7087.76438,2250.55719,22605.66416,27653.59096,1153.34288,1025.78979,2702.43856,2698.58606,5902.68362,236017.20122999998
6210 Otros ingresos financieros,99505.68756,22549.0556,34495.06949,6386.97098,7087.76438,2250.55719,22605.66416,27653.59096,1153.34288,1025.78979,2702.43856,2698.58606,5902.68362,236017.20122999998
