Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de mayo de 2024,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
61 Ingresos financieros,213631.26648,139584.18494,121936.83816,69422.5712,6401.18575,18376.781629999998,57404.2118,128443.34782,18041.24692,20783.03139,33824.86098,41666.89757,869516.42464
6110 Ingresos financieros,203970.31604,139528.52766999998,120662.61514,69398.22195,5841.71102,18376.781629999998,55365.60651,128443.28249,17906.74692,20783.03139,31475.78848,38599.77282,850352.4020599999
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,1433.30077,0,23.281,0,0,0,0,0,0,0,0,1104.9877099999999,2561.56948
6112 Ganancia por reversión de deterioro de activos financieros,8169.445839999999,55.65727,1250.15307,0,0,0,2038.60529,0.06533,0,0,0,1962.13704,13476.063839999999
6113 Ganancia por venta de inversiones financieras,58.20383,0,0.78895,24.34925,559.47473,0,0,0,134.5,0,2349.0725,0,3126.3892600000004
62 Otros ingresos financieros,39618.180759999996,9313.1674,13349.91707,2632.63754,4290.39272,923.167,8930.69348,10081.115310000001,504.2139,426.88385,1453.6068799999998,2206.72966,93730.70556999999
6210 Otros ingresos financieros,39618.180759999996,9313.1674,13349.91707,2632.63754,4290.39272,923.167,8930.69348,10081.115310000001,504.2139,426.88385,1453.6068799999998,2206.72966,93730.70556999999
63 Ingresos de otras operaciones,9539.28968,8375.54254,11912.86724,2450.54019,21.60146,378.80469,2884.24094,7752.575269999999,4734.41916,114.39811,1158.76272,3681.52981,53004.57181
6310 Ingresos de otras operaciones,9539.28968,8375.54254,11912.86724,2450.54019,21.60146,378.80469,2884.24094,7752.575269999999,4734.41916,114.39811,1158.76272,3681.52981,53004.57181
Total ingresos,262788.73692,157272.89488,147199.62247,74505.74893,10713.17993,19678.75332,69219.14622,146277.0384,23279.87998,21324.313349999997,36437.230579999996,47555.15704,1016251.7020199997
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos financieros,86528.65332,71974.8605,75409.42623,50438.70745,672.49457,3042.9370299999996,40161.71772,63662.289520000006,14504.2944,11967.31963,21312.434989999998,28889.112129999998,468564.2474899999
711 Costos financieros,55352.18568,47371.32525,46969.2354,42086.56661,464.06519000000003,3042.9370299999996,27191.443789999998,42513.52890999999,4288.97447,11835.18019,17904.369469999998,26642.475739999998,325662.28773
7110 Costos de pasivos financieros,51093.455969999995,46658.74534,46531.213,42045.49183,463.23534,3042.9370299999996,26117.02138,42482.81503,3794.54331,11830.59807,17634.416839999998,26601.88159,318296.3547300001
7111 Pérdida por cambios en el vr de activos financieros y pasivos financieros,1612.0484299999998,0,0,0,0,0,0,0,0,0,0,0,1612.0484299999998
7112 Pérdidas por deterioro de activos financieros,2622.6485,623.39113,412.92856,0,0.82985,0,0,6.77876,0,0,269.95263,0,3936.5294299999996
7113 Pérdida por venta de inversiones financieras,0,0,0,0,0,0,0,0,0,0,0,0,0
7114 Otros costos financieros,24.03278,89.18878,25.09384,41.07478,0,0,1074.42241,23.935119999999998,494.43116,4.58212,0,40.59415,1817.3551400000001
7120 Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),31176.46764,22557.44656,28440.19083,8352.14084,208.42938,0,12970.27393,21148.76061,10215.31993,128.8226,3408.06552,2225.4338399999997,140831.35168000005
713 Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),0,2046.08869,0,0,0,0,0,0,0,3.31684,0,21.20255,2070.60808
72 Costos de otras operaciones,27836.38912,1441.23819,10867.3907,1114.9215900000002,835.2226400000001,543.23692,2617.24773,2178.55702,129.05363,485.64034999999996,1051.31225,302.56378,49402.77392000001
7210 Comisiones de otros servicios,27272.94564,1321.5514699999999,10512.91282,602.12182,835.22263,450.1531,2293.6462,500.92509,129.05363,485.21507,1051.31225,271.63856,45726.698280000004
7211 Pérdidas generadas por entidades registradas bajo el método de la participación,0,21.915290000000002,9.51999,0,0,0,0,0,0,0,0,0,31.435280000000002
7212 Pérdidas por operaciones en moneda extranjera,254.09620999999999,0.92295,0,112.90049,1e-05,34.77371,0,1504.6788600000002,0,0.42528,0,0,1907.79751
7213 Pérdida por importes ineficaces en operaciones de cobertura,0,0,0,0,0,0,0,0,0,0,0,0,0
7214 Pérdida por deterioro de valor de activos,104.01397,0,0,0,0,3.0234099999999997,115.06192,96.70447,0,0,0,0,318.80377
7215 Pérdida en venta de activos,205.33329999999998,0,3.7595,93.4988,0,4,184.09991,63.26647,0,0,0,30.92522,584.8832
7299 Costos por explotación de activos,0,96.84848,341.19839,306.40047999999996,0,51.286699999999996,24.439700000000002,12.98213,0,0,0,0,833.1558799999999
Total costos,114365.04243999999,73416.09869,86276.81693,51553.62904,1507.71721,3586.1739499999994,42778.96545,65840.84654,14633.348030000001,12452.95998,22363.747239999997,29191.675909999998,517967.02141
 ,,,,,,,,,,,,,
Gastos ,,,,,,,,,,,,,
81 Gastos de administración,93923.3323,61960.12274,44311.34783,15773.62703,4578.584400000001,12546.85268,23993.96457,62567.334520000004,8211.84277,5897.988969999999,11476.8175,15945.07836,361186.89367
8110 Gastos de funcionarios y empleados,39766.63946,29234.496850000003,19369.193890000002,7756.2009100000005,2356.81986,6966.19778,10294.83047,20280.21608,3983.81509,2647.85718,5089.57679,6517.5707,154263.41505999997
8120 Gastos generales,27424.63735,17488.08626,16560.34815,6639.33501,930.1708100000001,2962.86825,10054.14553,26150.21074,3603.45685,1526.2564499999999,3713.5546600000002,6253.68185,123306.75190999998
8130 Depreciaciones y amortizaciones,14416.5044,9793.27801,2840.74064,1378.09111,321.45368,1306.3535,2425.36177,4675.7375999999995,624.57083,782.79435,2414.95252,2226.79849,43206.63689999999
8140 Provisiones,0,200.07535000000001,1633.1246299999998,0,0,0,30.3659,5977.27021,0,0,258.73353,41.602239999999995,8141.17186
8150 Gasto por impuesto sobre las ganancias,12315.551089999999,5244.186269999999,3907.94052,0,970.1400500000001,1311.4331499999998,1189.2609,5483.89989,0,941.08099,0,905.42508,32268.917940000003
Total gastos,93923.3323,61960.12274,44311.34783,15773.62703,4578.584400000001,12546.85268,23993.96457,62567.334520000004,8211.84277,5897.988969999999,11476.8175,15945.07836,361186.89367
 ,,,,,,,,,,,,,
Total costos y gastos,208288.37474,135376.22143,130588.16476,67327.25607,6086.30161,16133.02663,66772.93002,128408.18106,22845.1908,18350.948949999998,33840.564739999994,45136.75427,879153.9150799998
 ,,,,,,,,,,,,,
Utilidad ó pérdida,54500.36218,21896.673450000002,16611.457710000002,7178.4928599999985,4626.87832,3545.7266899999995,2446.2161999999953,17868.857339999988,434.6891800000012,2973.3643999999986,2596.6658400000015,2418.4027700000006,137097.78693999996
