Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de marzo de 2024,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
61 Ingresos financieros,128125.52638,83023.29521,72786.70118999999,41409.803909999995,3610.90765,10721.23152,35486.73372,75943.19353,10830.33498,12260.740810000001,20834.85459,25203.317170000002,520236.64066
6110 Ingresos financieros,121306.2405,83023.29521,72021.57092,41394.94401,3514.1910099999996,10721.23152,33936.82181,75941.55863,10830.33498,12260.740810000001,18485.78209,22864.87902,506301.5905099999
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,546.6410500000001,0,14.18822,0,0,0,0,0,0,0,0,818.75867,1379.5879400000001
6112 Ganancia por reversión de deterioro de activos financieros,6233.364030000001,0,750.15307,0,0,0,1549.9119099999998,1.6349,0,0,0,1519.67948,10054.74339
6113 Ganancia por venta de inversiones financieras,39.280800000000006,0,0.78898,14.8599,96.71664,0,0,0,0,0,2349.0725,0,2500.71882
62 Otros ingresos financieros,23015.10574,5325.98598,7855.885679999999,1560.76298,3502.2648,505.63872,2802.36896,5525.57884,291.85249,236.40731,1092.35958,1311.02773,53025.23881
6210 Otros ingresos financieros,23015.10574,5325.98598,7855.885679999999,1560.76298,3502.2648,505.63872,2802.36896,5525.57884,291.85249,236.40731,1092.35958,1311.02773,53025.23881
63 Ingresos de otras operaciones,5999.52121,5206.6715,6512.835980000001,955.3165600000001,8.04759,118.66763,1289.87491,4412.1055,631.32425,101.29884,261.46133,3114.8869799999998,28612.01227999999
6310 Ingresos de otras operaciones,5999.52121,5206.6715,6512.835980000001,955.3165600000001,8.04759,118.66763,1289.87491,4412.1055,631.32425,101.29884,261.46133,3114.8869799999998,28612.01227999999
Total ingresos,157140.15333,93555.95268999999,87155.42285,43925.883449999994,7121.22004,11345.53787,39578.977589999995,85880.87787000001,11753.511719999999,12598.446960000001,22188.675499999998,29629.231880000003,601873.8917499998
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos financieros,54196.40245,43506.74015,45587.05967,30568.14596,462.98699,2040.06405,22230.97713,41035.17703,6349.7711,7110.22946,12702.31708,17403.20894,283193.08001
711 Costos financieros,33492.72868,28173.21702,28798.496890000002,25237.65797,311.61298999999997,1836.2903999999999,14541.464769999999,26622.447050000002,2487.6807200000003,6987.2051200000005,10654.300519999999,15750.955890000001,194894.05801999997
7110 Costos de pasivos financieros,30951.59277,27743.16911,28534.15136,25237.65797,311.61298999999997,1836.2903999999999,14119.40371,26619.89609,2180.5489900000002,6982.623,10502.80982,15726.599400000001,190746.35561
7111 Pérdida por cambios en el vr de activos financieros y pasivos financieros,699.0223000000001,0,0,0,0,0,0,0,0,0,0,0,699.0223000000001
7112 Pérdidas por deterioro de activos financieros,1828.55455,388.3211,251.79904000000002,0,0,0,0,2.55096,0,0,151.4907,0,2622.7163499999997
7113 Pérdida por venta de inversiones financieras,0,0,0,0,0,0,0,0,0.52616,0,0,0,0.52616
7114 Otros costos financieros,13.559059999999999,41.72681,12.54649,0,0,0,422.06106,0,306.60557,4.58212,0,24.35649,825.4376000000001
7120 Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),20703.67377,14060.1469,16788.56278,5330.4879900000005,151.374,203.77365,7689.512360000001,14412.72998,3862.09038,123.02434,2048.01656,1651.9224299999998,87025.31514000002
713 Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),0,1273.37623,0,0,0,0,0,0,0,0,0,0.33062,1273.70685
72 Costos de otras operaciones,16467.89532,865.2898100000001,6388.35998,578.8865400000001,454.49499,328.47306,1585.93955,995.49189,92.01319000000001,293.96398999999997,665.3457099999999,150.52373,28866.677760000002
7210 Comisiones de otros servicios,16199.117189999999,756.10394,6157.64187,310.30057,454.49498,294.29106,1360.65094,371.73843,92.01319000000001,293.79149,665.3457099999999,147.07819,27102.56756
7211 Pérdidas generadas por entidades registradas bajo el método de la participación,0,13.58241,9.51999,0,0,0,0,0,0,0,0,0,23.1024
7212 Pérdidas por operaciones en moneda extranjera,4.82976,0.6491,0,85.73953999999999,1e-05,24.06406,0,533.7303,0,0.1725,0,0,649.1852700000001
7213 Pérdida por importes ineficaces en operaciones de cobertura,0,0,0,0,0,0,0,0,0,0,0,0,0
7214 Pérdida por deterioro de valor de activos,66.01341000000001,0,0,0,0,0,73.9649,62.95436,0,0,0,0,202.93267000000003
7215 Pérdida en venta de activos,197.93496,0,3.73015,0,0,0,131.35442,19.8156,0,0,0,3.44554,356.28067000000004
7299 Costos por explotación de activos,0,94.95436,217.46797,182.84643,0,10.11794,19.96929,7.2532,0,0,0,0,532.60919
Total costos,70664.29777,44372.02996,51975.41965,31147.0325,917.48198,2368.5371099999998,23816.91668,42030.66892,6441.78429,7404.19345,13367.66279,17553.73267,312059.75776999997
 ,,,,,,,,,,,,,
Gastos ,,,,,,,,,,,,,
81 Gastos de administración,56087.61278,36925.039469999996,25174.27837,9748.82682,2828.80366,6975.85634,14256.84687,35782.37296,5045.35609,3414.0044900000003,6882.16615,10043.564339999999,213164.72834000003
8110 Gastos de funcionarios y empleados,24308.440670000004,17305.1613,11539.48837,4652.3275,1363.76741,3841.78527,6161.56214,12329.141230000001,2446.58119,1532.7248100000002,3013.48912,4229.55909,92724.0281
8120 Gastos generales,17048.92946,10474.08953,9554.49518,4273.69398,543.73862,1655.59802,5881.311299999999,18377.042329999997,2208.52746,849.24751,2220.6100699999997,3703.28468,76790.56813999997
8130 Depreciaciones y amortizaciones,8325.791940000001,5931.14618,1706.44371,822.80534,192.55020000000002,765.1349200000001,1428.05306,2588.43985,378.24744,463.19804,1462.98178,1306.99452,25371.786979999997
8140 Provisiones,0,124.4222,0,0,0,0,16.2731,38.55632,0,0,185.08517999999998,28.023130000000002,392.35992999999996
8150 Gasto por impuesto sobre las ganancias,6404.45071,3090.2202599999996,2373.85111,0,728.74743,713.33813,769.64727,2449.19323,12,568.83413,0,775.7029200000001,17885.985189999996
Total gastos,56087.61278,36925.039469999996,25174.27837,9748.82682,2828.80366,6975.85634,14256.84687,35782.37296,5045.35609,3414.0044900000003,6882.16615,10043.564339999999,213164.72834000003
 ,,,,,,,,,,,,,
Total costos y gastos,126751.91055,81297.06943,77149.69802000001,40895.85932,3746.28564,9344.39345,38073.763549999996,77813.04188,11487.14038,10818.19794,20249.82894,27597.297010000002,525224.4861099999
 ,,,,,,,,,,,,,
Utilidad ó pérdida,30388.24278,12258.883259999988,10005.724829999992,3030.0241299999907,3374.9344,2001.1444200000005,1505.214039999999,8067.835990000007,266.3713399999979,1780.249020000001,1938.8465599999981,2031.934870000001,76649.40563999998
