Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
8260 Perdidas por contingencias,0,0,0,0,0,0,0,0,0,0,0,4.17999,0,4.17999
8270 Otros,496.23503,170.94439,112.58399,26.71195,0,0.00001,9.26652,94.40401,0,0,0,0,38.53569,948.68159
83 Impuestos directos,15265.29763,11631.86054,7459.9576,3880.17913,374.3654,2035.17657,392.27133,3303.74504,4630.55255,70.50196,911.80396,22.43,427.32101,50405.46272
8310 Impuesto sobre la renta,15265.29763,11631.86054,7459.9576,3880.17913,374.3654,2035.17657,392.27133,3303.74504,4630.55255,70.50196,911.80396,22.43,427.32101,50405.46272
84 Contribuciones especiales,0,0,0,0,10.03026,0,0,11.70838,0,0,0,0,0,21.73864
Total gastos,118881.73504,87943.70265,61633.95565,24361.41867,5545.90888,19211.28852,8128.20403,36144.45335,66803.29099,13782.45535,6051.08347,13247.96931,16790.25926,478525.72517
 ,,,,,,,,,,,,,,
Total costos y gastos,264928.81376,189090.37867,184882.17191,57414.48705,7393.55818,24891.12733,17633.89397,85928.60657,147260.91507,18113.07354,15320.5602,30090.93915,41599.65676,1084548.18216
 ,,,,,,,,,,,,,,
Utilidad ó pérdida,67477.29627,27465.94933,20620.57709,11850.89413,2696.57116,2509.46403,1378.98103,3811.69451000001,12971.73854,1215.06046,2752.84681,1420.3532,5363.77076,161535.19732
 ,,,,,,,,,,,,,,
