Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2021,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,,
8240 Castigos de bienes recibidos en pago o adjudicados,770.58063,170.29728,484.95373,522.40014,0,243.17138,67.96628,740.82796,0,393.37063,0,0,170.55828,292.10076,3856.22707
8250 Gastos por diferencias temporarias de impuestos sobre las ganancias,1920.13231,0,0,0,0,0,0,0,0,249.98998,0,0,0,506.23075,2676.35304
8260 Perdidas por contingencias,0,0,0,0,0,0,0,0,0,5.93656,0,0,4.24425,0,10.18081
8270 Otros,289.42487,163.44768,7.19986,18.70603,0,0.00001,0.99398,51.92033,0,0,0,0,0,28.84299,560.53575
83 Impuestos directos,10855.8757,5143.46839,3905.96385,2501.79337,226.56737,1392.31686,216.77912,2368.07824,0,4875.11733,0,576.28097,0,99.54958,32161.79078
8310 Impuesto sobre la renta,10855.8757,5143.46839,3905.96385,2501.79337,226.56737,1392.31686,216.77912,2368.07824,0,4875.11733,0,576.28097,0,99.54958,32161.79078
84 Contribuciones especiales,0,0,0,0,10.03026,0,0,11.70838,0,0,0,0,0,0,21.73864
Total gastos,70531.30574,52923.04703,36570.13966,14815.0732,3555.23558,12393.63582,5139.89336,23194.85445,0,43062.039,7907.71374,3749.21908,8214.68012,9876.1525,291932.98928
 ,,,,,,,,,,,,,,,
Total costos y gastos,161911.66907,129232.58862,105741.40575,34813.96199,4694.69468,15741.49783,11461.7829,52933.76427,0,88958.43556,10427.26642,9741.46396,18309.61514,25098.43227,669066.57846
 ,,,,,,,,,,,,,,,
Utilidad ó pérdida,39925.19935,11617.06793,10850.70697,6648.87093,1926.84046,1711.82689,1018.78321,2914.36378,0,13005.37891,751.45888,1820.22105,1119.05988,1422.16183,94731.94007
 ,,,,,,,,,,,,,,,
