Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
8260 Perdidas por contingencias,0,0,0,0,0,0,0,0,0,0,0,4.71725,0,4.71725
8270 Otros,561.73506,182.73192,123.13043,44.10785,0,0.00001,9.26652,101.82644,0,0,0,0,45.75571,1068.55394
83 Impuestos directos,17388.58952,12987.63971,8128.198,4118.12529,483.42818,2157.1204,472.2332,3542.89806,4703.92058,42.58194,840.82576,50.87,435.82101,55352.25165
8310 Impuesto sobre la renta,17388.58952,12987.63971,8128.198,4118.12529,483.42818,2157.1204,472.2332,3542.89806,4703.92058,42.58194,840.82576,50.87,435.82101,55352.25165
84 Contribuciones especiales,0,0,0,0,10.03026,0,0,11.70838,0,0,0,0,0,21.73864
Total gastos,136866.83139,98897.48924,69279.25561,27484.22513,6235.95282,21463.82857,9191.65203,40224.80332,75209.66379,15679.8198,6623.77196,14902.8633,18922.91858,540983.07554
 ,,,,,,,,,,,,,,
Total costos y gastos,297939.05755,210293.0602,207310.65708,64424.60803,8262.09707,27998.36766,19667.21321,95774.29282,168863.63383,20799.69654,16885.19534,33832.14288,46630.3034,1218680.32561
 ,,,,,,,,,,,,,,
Utilidad ó pérdida,75132.97928,31188.51643,22539.16552,13420.49483,3247.8923,2774.78938,1314.16931,4226.8352,11541.07976,1441.25914,3334.73273,1604.11357,5712.62333,177478.65078
 ,,,,,,,,,,,,,,
