Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Agosto de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
8270 Otros,754.03274,114.47033,793.44275,72.6988,0,0.00002,77.29542,0,0,0,0,8.60317,1820.54323
83 Impuestos directos,25664.43413,10849.06758,8392.45609,2034.1165,641.59131,2086.89969,1587.1421,8987.53656,0,1292.18916,53.23753,40.96504,61629.63569
8310 Impuesto sobre la renta,25664.43413,10849.06758,8392.45609,2034.1165,641.59131,2086.89969,1587.1421,8987.53656,0,1292.18916,53.23753,40.96504,61629.63569
84 Contribuciones especiales,0,0,0,0,0,0,0,0,0,0,0,0,0
Total gastos,142873.46102,97237.49968,71080.51333,29003.42233,6395.11475,19619.27446,37288.35912,94993.97822,14420.97546,7803.36571,19001.85575,21589.67673,561307.49656
 ,,,,,,,,,,,,,
Total costos y gastos,307736.49111,206377.59842,194910.49454,93720.39302,8136.94643,26237.54482,93085.7837,181932.10043,33322.48676,23096.19806,52463.65981,57575.87081,1278595.56791
 ,,,,,,,,,,,,,
Utilidad ó pérdida,87229.2441,33959.22471,23000.54465,13824.41373,3045.25602,4709.0409,4639.20735000001,28222.00246,1530.88996,4099.8971,6324.86793,4030.70881000001,214615.29772
 ,,,,,,,,,,,,,
