Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Estado de resultados de Bancos del Sistema Financiero,,,,,,,,,,,,,,
Datos al 31 de mayo de 2025,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61 Ingresos financieros,230775.5866,151932.04432,121548.64016,73266.98137,5416.35027,18780.36977,58480.74133,140633.51117,18965.02759,25440.24906,36880.60746,19690.03358,45693.00297,947503.14565
6110 Ingresos financieros,224802.99111,148732.89612,121547.10816,72082.66444,5416.19641,18780.36977,58185.33687,140632.59862,18742.02759,25407.03515,35208.92346,19690.03358,43325.92812,932554.1094
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,3331.88828,0,0,0,0,0,0,0,0,0,0,0,933.50359,4265.39187
6112 Ganancia por reversión de deterioro de activos financieros,2610.60113,3199.1482,1.532,1184.31693,0,0,295.40446,0.91255,0,33.21391,0,0,1259.09678,8584.22596
6113 Ganancia por venta de inversiones financieras,30.10608,0,0,0,0.15386,0,0,0,223,0,1671.684,0,174.47448,2099.41842
62 Otros ingresos financieros,45282.52239,11855.98571,14778.03398,2559.75665,2226.67444,1018.16482,9879.27322,14653.78065,667.35202,446.58741,1046.56046,1290.3634,3738.4379,109443.49305
6210 Otros ingresos financieros,45282.52239,11855.98571,14778.03398,2559.75665,2226.67444,1018.16482,9879.27322,14653.78065,667.35202,446.58741,1046.56046,1290.3634,3738.4379,109443.49305
63 Ingresos de otras operaciones,12942.09387,9422.43427,11989.05287,5513.57992,196.10064,539.25187,2475.27023,8578.85763,769.39025,35.66592,879.21066,1425.56733,1470.78085,56237.25631
6310 Ingresos de otras operaciones,12942.09387,9422.43427,11989.05287,5513.57992,196.10064,539.25187,2475.27023,8578.85763,769.39025,35.66592,879.21066,1425.56733,1470.78085,56237.25631
Total ingresos,289000.20286,173210.4643,148315.72701,81340.31794,7839.12535,20337.78646,70835.28478,163866.14945,20401.76986,25922.50239,38806.37858,22405.96431,50902.22172,1113183.89501
,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos financieros,94801.00074,77701.12559,75282.62431,53766.91894,438.72778,3864.78985,38691.78848,68228.72881,9949.33398,15285.85327,23032.1799,8514.61726,31522.82417,501080.51308
711 Costos financieros,54524.95579,51026.0477,49923.88255,41611.67785,438.72778,3479.98566,28093.92222,47979.3517,4855.9178,14960.62769,19672.91599,5628.00232,29595.01465,351791.0297
7110 Costos de pasivos financieros,49467.28845,50174.37696,49197.05898,41610.87458,438.72778,3447.02475,27482.9313,47960.82007,4376.54537,14956.04466,19461.61256,5628.00232,29553.43624,343754.74402
7111 Pérdida por cambios en el vr de activos financieros y pasivos financieros,3350.80053,0,0,0,0,0,0,0,0,0,0,0,0,3350.80053
7112 Pérdidas por deterioro de activos financieros,1503.25406,765.33134,710.01813,0,0,32.96091,0,18.31367,0,0,211.30343,0,0,3241.18154
