Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Estado de resultados de Bancos del Sistema Financiero,,,,,,,,,,,,,,
Datos al 31 de marzo de 2025,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61 Ingresos financieros,136097.19419,91080.56543999999,72588.312,43801.679240000005,3235.4938700000002,10925.256529999999,34852.14335,83795.88556,11259.02701,14831.37142,21207.26181,11653.20989,26910.48609,562237.8864
6110 Ingresos financieros,132440.01051999998,87881.41724,72586.78,43075.06242,3235.4518199999998,10925.256529999999,34616.97036,83795.88556,11036.02701,14798.15751,20383.57781,11653.20989,25348.526850000002,551776.33352
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,1840.18949,0,0,0,0,0,0,0,0,0,0,0,620.03178,2460.22127
6112 Ganancia por reversión de deterioro de activos financieros,1793.05682,3199.1482,1.532,726.61682,0,0,235.17299,0,0,33.213910000000006,0,0,767.45298,6756.193719999999
6113 Ganancia por venta de inversiones financieras,23.93736,0,0,0,0.04205,0,0,0,223,0,823.684,0,174.47448,1245.13789
62 Otros ingresos financieros,26813.04925,6691.7109,8844.94023,1548.45552,1354.56252,527.9635999999999,5764.93589,8591.17454,360.39820000000003,268.95863,731.3451600000001,758.81849,1943.13299,64199.44592
6210 Otros ingresos financieros,26813.04925,6691.7109,8844.94023,1548.45552,1354.56252,527.9635999999999,5764.93589,8591.17454,360.39820000000003,268.95863,731.3451600000001,758.81849,1943.13299,64199.44592
63 Ingresos de otras operaciones,7739.76775,5640.451059999999,7026.08024,1512.36203,193.28546,709.75158,1683.86719,5044.009730000001,569.93151,0.22438,230.87809,952.26863,1059.73399,32362.61164
6310 Ingresos de otras operaciones,7739.76775,5640.451059999999,7026.08024,1512.36203,193.28546,709.75158,1683.86719,5044.009730000001,569.93151,0.22438,230.87809,952.26863,1059.73399,32362.61164
Total ingresos,170650.01119,103412.7274,88459.33247,46862.49679,4783.34185,12162.971710000002,42300.946429999996,97431.06983,12189.35672,15100.55443,22169.48506,13364.29701,29913.35307,658799.9439600001
,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos financieros,58581.85693,48382.538799999995,45624.54936,30653.13077,211.21298000000002,2413.42371,23096.661070000002,37316.58848,6284.06791,8870.09999,13465.933570000001,5227.8264500000005,18581.80936,298709.69938
711 Costos financieros,32251.065710000003,30317.47659,30011.861350000003,24756.081140000002,211.21298000000002,2067.58326,16904.60238,28972.03352,2805.37877,8688.26519,11328.25292,3363.2610099999997,17501.23728,209178.31209999998
7110 Costos de pasivos financieros,29459.946379999998,29634.43088,29651.21541,24755.27787,211.21298000000002,2047.5173300000001,16475.59543,28964.21525,2560.573,8683.68216,11188.37052,3363.2610099999997,17476.49545,204471.79366999998
7111 Pérdida por cambios en el vr de activos financieros y pasivos financieros,1820.63169,0,0,0,0,0,0,0,0,0,0,0,0,1820.63169
7112 Pérdidas por deterioro de activos financieros,783.31877,637.3330100000001,360.31712,0,0,20.06593,0,7.6681099999999995,0,0,139.8824,0,0,1948.58534
7113 Pérdida por venta de inversiones financieras,4.9656199999999995,0,0,0,0,0,0,0,0,0,0,0,0.14576,5.1113800000000005
7114 Otros costos financieros,182.20325,45.7127,0.32882,0.8032699999999999,0,0,429.00695,0.15016,244.80577,4.58303,0,0,24.59607,932.19002
7120 Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),26330.79122,16868.95161,15592.26492,5897.0496299999995,0,345.84045000000003,6192.058690000001,8344.55496,3478.68914,178.68116,2137.68065,1864.5654399999999,1079.3611799999999,88310.48905
713 Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),0,1196.1106000000002,20.42309,0,0,0,0,0,0,3.1536399999999998,0,0,1.2109,1220.89823
72 Costos de otras operaciones,20251.25404,881.87257,7695.2220099999995,441.20008,548.09491,312.76351,1432.91901,3091.5409,95.32687,373.39711,492.11767,1404.6899099999998,195.10770000000002,37215.50629
7210 Comisiones de otros servicios,19900.833690000003,857.92754,6991.31218,314.83396000000005,548.07966,274.1966,1382.05833,383.58812,95.32687,373.39711,492.11767,1396.13561,181.33716,33191.1445
7211 Pérdidas generadas por entidades registradas bajo el método de la participación,283.60276,15.20575,5.98361,0,0,0,0,0,0,0,0,0,0,304.79212
7212 Pérdidas por operaciones en moneda extranjera,12.00288,0.73197,0,0,0.01525,20.32501,0,2680.536,0,0,0,0,0,2713.61111
7213 Pérdida por importes ineficaces en operaciones de cobertura,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7214 Pérdida por deterioro de valor de activos,0,0,0,0,0,0,39.65979,17.099970000000003,0,0,0,0,0,56.75976
7215 Pérdida en venta de activos,54.81471,3.484,23.583299999999998,12.31932,0,0,5.35668,1.5153699999999999,0,0,0,8.5543,13.77054,123.39822
7299 Costos por explotación de activos,0,4.52331,674.34292,114.0468,0,18.2419,5.84421,8.801440000000001,0,0,0,0,0,825.80058
Total costos,78833.11097,49264.411369999994,53319.771369999995,31094.330850000002,759.30789,2726.1872200000003,24529.58008,40408.129380000006,6379.3947800000005,9243.4971,13958.05124,6632.5163600000005,18776.91706,335925.20567
,,,,,,,,,,,,,,
Gastos ,,,,,,,,,,,,,,
