Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Estado de resultados de Bancos del Sistema Financiero,,,,,,,,,,,,,,
Datos al 30 de abril de 2025,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61 Ingresos financieros,183401.52487999998,121101.93501999999,97242.72877,58330.06261,4400.7744,14997.04946,46547.23595,112153.84505,15037.58149,20030.15723,28820.73377,15571.04134,36186.5024,753821.17237
6110 Ingresos financieros,178375.72263,117902.78682,97241.19677,57402.87154,4400.732349999999,14997.04946,46283.602869999995,112153.84505,14814.58149,19996.94332,27491.049769999998,15571.04134,34195.4796,740826.90301
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,2623.28444,0,0,0,0,0,0,0,0,0,0,0,757.7938399999999,3381.0782799999997
6112 Ganancia por reversión de deterioro de activos financieros,2375.50855,3199.1482,1.532,927.19107,0,0,263.63308,0,0,33.213910000000006,0,0,1058.75448,7858.98129
6113 Ganancia por venta de inversiones financieras,27.009259999999998,0,0,0,0.04205,0,0,0,223,0,1329.684,0,174.47448,1754.20979
62 Otros ingresos financieros,35688.80868,9853.5555,11708.73361,2110.13886,1702.7203200000001,770.1927099999999,7740.4287,11719.43486,518.39944,371.39094,888.34935,968.43776,2944.23467,86984.8254
6210 Otros ingresos financieros,35688.80868,9853.5555,11708.73361,2110.13886,1702.7203200000001,770.1927099999999,7740.4287,11719.43486,518.39944,371.39094,888.34935,968.43776,2944.23467,86984.8254
63 Ingresos de otras operaciones,9645.504550000001,7329.21794,9325.14581,2180.42703,193.21854000000002,621.6756899999999,2188.29383,6642.47007,595.87839,15.65632,567.95786,1178.78978,1146.85792,41631.09372999999
6310 Ingresos de otras operaciones,9645.504550000001,7329.21794,9325.14581,2180.42703,193.21854000000002,621.6756899999999,2188.29383,6642.47007,595.87839,15.65632,567.95786,1178.78978,1146.85792,41631.09372999999
Total ingresos,228735.83811,138284.70846,118276.60819,62620.6285,6296.7132599999995,16388.917859999998,56475.958479999994,130515.74998000001,16151.85932,20417.20449,30277.04098,17718.26888,40277.594990000005,882437.0915
,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos financieros,78029.01624,62841.63404,58601.89591,42193.57101,298.91593,3124.5599500000003,30634.20699,53159.56628,8045.994900000001,12005.3271,18183.00606,6860.307690000001,25120.041739999997,399098.04384
711 Costos financieros,44466.56447999999,40603.979880000006,39787.67164,33136.26681,298.91593,2778.7195,22514.233239999998,38335.02033,3786.98698,11754.86117,15490.05305,4477.74071,23445.03076,280876.04448000004
7110 Costos de pasivos financieros,39485.01903,39857.825560000005,39266.409060000005,33135.46354,298.91593,2751.93961,21954.07847,38321.04079,3446.36812,11750.27814,15294.30409,4477.74071,23411.87064,273451.25369
7111 Pérdida por cambios en el vr de activos financieros y pasivos financieros,2673.15555,0,0,0,0,0,0,0,0,0,0,0,0,2673.15555
7112 Pérdidas por deterioro de activos financieros,2112.53158,686.74314,504.59321,0,0,26.779889999999998,0,13.78298,0,0,195.74895999999998,0,0,3540.17976
7113 Pérdida por venta de inversiones financieras,5.53205,0,0,0,0,0,0,0,0,0,0,0,0.14576,5.67781
7114 Otros costos financieros,190.32627,59.41118,16.66937,0.8032699999999999,0,0,560.15477,0.19656,340.61886,4.58303,0,0,33.01436,1205.77767
7120 Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),33562.451759999996,20658.44334,18783.42348,9057.304199999999,0,345.84045000000003,8119.97375,14824.54595,4259.00792,247.31229000000002,2692.9530099999997,2382.56698,1673.69659,116607.51972
713 Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),0,1579.21082,30.80079,0,0,0,0,0,0,3.1536399999999998,0,0,1.3143900000000002,1614.4796399999998
72 Costos de otras operaciones,28615.82171,1145.2157,9998.89058,624.5530799999999,729.7237,395.01107,1982.77675,4599.04032,128.2893,496.59171000000003,645.7955999999999,1857.31957,332.44196999999997,51551.47106
7210 Comisiones de otros servicios,28193.29273,1108.87158,9225.79447,444.25857,729.70845,348.79795,1918.03645,499.8203,128.2893,496.58933,645.7955999999999,1848.76527,318.67143,45906.69143
