Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Estado de resultados de Bancos del Sistema Financiero,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2025,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61 Ingresos financieros,478450.94041,311233.73297,247949.20291,146246.9083,10854.70131,38128.37301,118546.13364,285420.44702,41523.23356,53933.76914,77589.26095,40179.72267,94083.28756,1944139.71345
6110 Ingresos financieros,465065.33825,304668.30815,247940.19522,144078.34873,10852.77362,38128.37301,118053.74676,285419.63168,38794.08356,53889.9077,72351.66845,40179.72267,88575.33163,1907997.42943
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,7719.4344,0,0,0,0,0,0,0,0,0,0,0,2101.30768,9820.74208
6112 Ganancia por reversión de deterioro de activos financieros,5620.51921,6565.42482,8.2792,2168.55957,0,0,492.38688,0.81534,0,43.86144,0,0,3177.56579,18077.41225
6113 Ganancia por venta de inversiones financieras,45.64855,0,0.72849,0,1.92769,0,0,0,2729.15,0,5237.5925,0,229.08246,8244.12969
62 Otros ingresos financieros,96156.13925,21789.37993,30083.37349,5283.37318,4746.93964,2202.80819,20036.15614,29313.65043,1142.28421,928.98199,1857.71477,2853.77159,7419.05139,223813.6242
6210 Otros ingresos financieros,96156.13925,21789.37993,30083.37349,5283.37318,4746.93964,2202.80819,20036.15614,29313.65043,1142.28421,928.98199,1857.71477,2853.77159,7419.05139,223813.6242
63 Ingresos de otras operaciones,25161.59356,18575.30759,22190.70584,11435.82507,196.10123,1234.79216,4486.74004,19172.80414,911.38037,208.85596,2331.87864,2724.19536,10410.66644,119040.8464
6310 Ingresos de otras operaciones,25161.59356,18575.30759,22190.70584,11435.82507,196.10123,1234.79216,4486.74004,19172.80414,911.38037,208.85596,2331.87864,2724.19536,10410.66644,119040.8464
Total ingresos,599768.67322,351598.42049,300223.28224,162966.10655,15797.74218,41565.97336,143069.02982,333906.90159,43576.89814,55071.60709,81778.85436,45757.68962,111913.00539,2286994.18405
,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos financieros,189267.12941,156070.05271,156549.84607,109705.3106,885.47868,7620.35472,77528.91047,147688.00938,19932.18836,32802.09123,48538.48044,17096.78075,68096.40454,1031781.03736
711 Costos financieros,107256.29477,104996.99589,101677.88912,85209.67621,885.47868,7163.54605,56087.13461,96856.93097,10631.85778,32247.48707,40396.7726,11404.04545,60272.72234,715086.83154
7110 Costos de pasivos financieros,96899.30249,103428.70222,100412.46583,85200.02831,885.47868,7095.49478,55436.05749,96769.97322,9620.5773,32233.55117,39726.08584,11404.04545,60187.91226,699299.67504
7111 Pérdida por cambios en el vr de activos financieros y pasivos financieros,7542.49386,0,0,0,0,0,0,0,0,0,0,0,0,7542.49386
7112 Pérdidas por deterioro de activos financieros,2506.88254,1333.86548,1196.28689,0,0,64.19416,0,86.69699,0,0,462.72276,0,0.697,5651.34582
7113 Pérdida por venta de inversiones financieras,5.53205,0,0,0,0,0,0,0,0,0,207.964,0,0.14576,213.64181
7114 Otros costos financieros,302.08383,234.42819,69.1364,9.6479,0,3.85711,651.07712,0.26076,1011.28048,13.9359,0,0,83.96732,2379.67501
7120 Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),82010.83464,47462.02932,54778.93047,24495.63439,0,456.80867,21441.77586,50831.07841,9300.33058,503.3514,8117.493,5692.7353,7821.46918,312912.47122
713 Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),0,3611.0275,93.02648,0,0,0,0,0,0,51.25276,24.21484,0,2.21302,3781.7346
72 Costos de otras operaciones,70610.69623,2791.67166,25901.02926,2599.81286,2039.43955,1327.016,4891.02744,11461.92802,313.74429,1300.83241,1623.2168,4242.49032,959.25514,130062.15998
7210 Comisiones de otros servicios,69455.62203,2720.87082,24342.58856,1215.00407,2039.4243,1220.28181,4727.73151,1219.83885,313.74429,1298.04489,1623.2168,4225.63422,882.40447,115284.40662
7211 Pérdidas generadas por entidades registradas bajo el método de la participación,748.48733,39.89198,9.15946,0,0,0,0,0,0,0,0,0,0,797.53877
7212 Pérdidas por operaciones en moneda extranjera,57.09702,5.32184,0,136.64571,0.01525,69.12043,0,10132.18351,0,0.11849,0,0,0,10400.50225
7213 Pérdida por importes ineficaces en operaciones de cobertura,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7214 Pérdida por deterioro de valor de activos,87.97143,10,0,0,0,0.88782,128.35022,1.61772,0,0,0,0,0,228.82719
7215 Pérdida en venta de activos,261.51842,3.484,35.49916,780.23057,0,0,17.20196,79.64142,0,2.66903,0,16.8561,76.85067,1273.95133
7299 Costos por explotación de activos,0,12.10302,1513.78208,467.93251,0,36.72594,17.74375,28.64652,0,0,0,0,0,2076.93382
Total costos,259877.82564,158861.72437,182450.87533,112305.12346,2924.91823,8947.37072,82419.93791,159149.9374,20245.93265,34102.92364,50161.69724,21339.27107,69055.65968,1161843.19734
,,,,,,,,,,,,,,
Gastos ,,,,,,,,,,,,,,
81 Gastos de administración,210428.51806,135896.73541,91111.24302,32081.35883,6971.35527,25724.03186,52488.74179,144504.117,18176.98345,13874.46844,23167.24806,20134.18459,36808.48457,811367.47035
8110 Gastos de funcionarios y empleados,87835.44976,62338.8901,40259.11725,15734.45205,3895.40452,14187.52431,20425.81069,43906.64858,9263.26265,6443.19629,9968.70105,10892.63925,13705.58226,338856.67876
8120 Gastos generales,58935.30128,38030.62387,36078.42125,13097.40075,1613.34147,6122.69624,23592.01854,64628.292,6900.8617,3654.68869,8115.66604,5221.58028,16662.79521,282653.68732
8130 Depreciaciones y amortizaciones,33493.47187,21268.28907,6610.84528,2620.27219,596.02741,2868.97271,5312.10572,10342.55455,1556.48079,2421.72342,3196.34943,2196.02875,5618.46084,98101.58203
8140 Provisiones,136.66911,790.18034,3127.73626,0,0,0,50.41414,18412.72169,0,0,1018.8196,0,153.77469,23690.31583
8150 Gasto por impuesto sobre las ganancias,30027.62604,13468.75203,5035.12298,629.23384,866.58187,2544.8386,3108.3927,7213.90018,456.37831,1354.86004,867.71194,1823.93631,667.87157,68065.20641
Total gastos,210428.51806,135896.73541,91111.24302,32081.35883,6971.35527,25724.03186,52488.74179,144504.117,18176.98345,13874.46844,23167.24806,20134.18459,36808.48457,811367.47035
,,,,,,,,,,,,,,
Total costos y gastos,470306.3437,294758.45978,273562.11835,144386.48229,9896.2735,34671.40258,134908.6797,303654.0544,38422.9161,47977.39208,73328.9453,41473.45566,105864.14425,1973210.66769
,,,,,,,,,,,,,,
Utilidad ó pérdida,129462.32952,56839.96071,26661.16389,18579.62426,5901.46868,6894.57078,8160.35012,30252.84719,5153.98204,7094.21501,8449.90906,4284.23396,6048.86113999999,313783.51636
