Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 28 de Febrero de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
8260 Perdidas por contingencias,0,0,0,0,0,0,0,0,47.32983,0,0,0.20084,0,47.53067
8270 Otros,74.19784,1.22036,0.29122,3.99576,0,0.00001,0,34.05362,0,0,0,0,1.88591,115.64472
83 Impuestos directos,6599.06651,3249.08151,2762.60736,720.72198,16.66811,312.04347,23.16658,316.05385,1374.24944,53.5262,225.85097,0,3,15656.03598
8310 Impuesto sobre la renta,6599.06651,3249.08151,2762.60736,720.72198,16.66811,312.04347,23.16658,316.05385,1374.24944,53.5262,225.85097,0,3,15656.03598
84 Contribuciones especiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total gastos,31219.04419,23892.31077,15499.58181,5962.43889,1374.2694,4314.7568,1586.64644,9158.67416,16815.77498,3400.11595,1479.95768,2834.93773,4785.20711,122323.71591
 ,,,,,,,,,,,,,,
Total costos y gastos,61906.06061,45744.3009,39914.87921,15816.45225,1757.57379,5795.4101,3536.00208,21656.26383,35572.08565,5766.38779,3602.87447,7857.17612,14058.09164,262983.55844
 ,,,,,,,,,,,,,,
Utilidad ó pérdida,20217.12045,7897.56189999999,7375.68793,3647.56405,-25.63379,942.05202,167.61628,929.401230000002,5387.10585,193.28517,866.11571,173.58508,550.83318,48322.29506
 ,,,,,,,,,,,,,,
