Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Abril de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,137384.91178,90975.75155,78229.14194,36403.6731,1909.98282,13313.68739,7420.21219,37038.44171,79215.53359,11943.77631,8922.18904,16029.81903,19654.90668,538442.02713
6110 Ingresos de operaciones de intermediación,137384.91178,90975.75155,78229.14194,36403.6731,1909.98282,13313.68739,7420.21219,37038.44171,79215.53359,11943.77631,8922.18904,16029.81903,19654.90668,538442.02713
62 Ingresos de otras operaciones,26126.42038,6758.48048,8762.62159,1143.78576,1710.93969,815.35213,278.76205,3131.79444,6325.14892,594.53978,279.06293,785.64202,1723.93458,58436.48475
6210 Ingresos de otras operaciones,26126.42038,6758.48048,8762.62159,1143.78576,1710.93969,815.35213,278.76205,3131.79444,6325.14892,594.53978,279.06293,785.64202,1723.93458,58436.48475
63 Ingresos no operacionales,11820.78027,14160.05838,10679.10223,1103.89972,77.23544,629.4255,69.16861,6039.96145,5219.38159,653.36621,339.65657,26.50962,5342.29423,56160.83982
6310 Ingresos no operacionales,11820.78027,14160.05838,10679.10223,1103.89972,77.23544,629.4255,69.16861,6039.96145,5219.38159,653.36621,339.65657,26.50962,5342.29423,56160.83982
Total ingresos,175332.11243,111894.29041,97670.86576,38651.35858,3698.15795,14758.46502,7768.14285,46210.1976,90760.0641,13191.6823,9540.90854,16841.97067,26721.13549,653039.3517
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,49007.91331,42513.36986,42205.66114,20151.25018,155.39687,2185.76546,4074.4062,24110.16474,35083.96041,5191.41298,4106.41881,9806.93247,15624.37168,254217.02411
7110 Captación de recursos,32500.85244,25201.03481,26052.92471,15556.64356,153.65746,2185.76546,3498.92381,13357.65981,21714.806,1356.27841,3812.29422,7520.53033,10845.18081,163756.55183
7120 Saneamiento de activos de intermediación,16507.06087,12669.04177,16152.73643,4561.77676,1.73941,0,575.48239,10752.50493,13369.15441,3835.13457,294.12459,2276.79026,4733.25774,85728.80413
7130 Castigos de activos de intermediación,0,4643.29328,0,32.82986,0,0,0,0,0,0,0,9.61188,45.93313,4731.66815
72 Costos de otras operaciones,15703.5556,1049.52193,7802.50176,598.47039,634.27157,393.91663,93.86593,1390.21624,561.99118,79.0927,469.69854,629.56477,67.1511,29473.81834
7210 Operaciones en moneda extranjera,340.07393,3.64539,12.62434,69.79704,2e-05,25.91668,0,0,186.9749,0,0.0068,0,0,639.0391
7220 Cartas de crédito,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7230 Avales y fianzas,0,28.38332,0,3.11984,0.08959,2.54093,0,0,0,0,0,0,0,34.13368
7240 Prestación de servicios,14804.66476,819.25331,7481.16222,525.55351,633.14464,293.85514,93.86593,1356.78805,375.01628,79.0927,469.69174,503.58739,67.1511,27502.82677
7250 Saneamientos,558.81691,198.23991,308.7152,0,1.03732,71.60388,0,33.42819,0,0,0,125.97738,0,1297.81879
7260 Castigos de contingencias,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total costos,64711.46891,43562.89179,50008.1629,20749.72057,789.66844,2579.68209,4168.27213,25500.38098,35645.95159,5270.50568,4576.11735,10436.49724,15691.52278,283690.84245
 ,,,,,,,,,,,,,,
Gastos ,,,,,,,,,,,,,,
81 Gastos de operación,50609.37927,41140.47143,26649.16987,10111.79693,2682.9088,7935.1037,3062.87312,15667.48171,37441.46959,7005.97647,2625.17094,5657.85125,8703.82153,219293.47461
8110 Gastos de funcionarios y empleados,24696.95097,21198.48716,13402.47496,5320.1771,1702.08932,4999.50989,1365.40844,7206.71117,12945.99652,3364.85502,1415.64966,2561.89729,3824.48713,104004.69463
8120 Gastos generales,19941.66851,14948.25936,11517.88442,4072.42259,894.33859,2131.70784,1213.88281,7147.91268,22135.53977,3056.68074,1011.89342,2416.30392,4059.4596,94547.95425
8130 depreciaciones y amortizaciones,5970.75979,4993.72491,1728.81049,719.19724,86.48089,803.88597,483.58187,1312.85786,2359.9333,584.44071,197.62786,679.65004,819.8748,20740.82573
82 Gastos no operacionales,7991.84008,238.78066,788.73593,680.80272,18.1752,460.47337,102.05818,2184.29595,739.17438,0,0.13952,105.24128,1208.88843,14518.6057
8210 Gastos de ejercicios anteriores,175.34877,71.82552,138.40399,71.89186,18.1752,279.13571,59.76822,167.52784,38.10534,0,0,0,67.73447,1087.91692
8220 Perdidas en venta de activos,263.99138,53.37309,306.4916,77.66369,0,0,0,278.6275,76.00186,0,0.13952,0,282.73872,1339.02736
8230 Gastos por explotacion de activos,0,18.86742,63.31304,101.17601,0,5.5277,0,0,21.11768,0,0,1.66501,0,211.66686
8240 Castigos de bienes recibidos en pago o adjudicados,422.28106,37.80656,253.54304,406.09318,0,175.80995,42.28996,821.81177,197.81956,0,0,103.2476,178.09004,2638.79272
8250 Gastos por diferencias temporarias de impuestos sobre las ganancias,6941.66785,0,0,0,0,0,0,812.44691,357.05173,0,0,0,676.02524,8787.19173
8260 Perdidas por contingencias,0,0,0,0,0,0,0,0,49.07821,0,0,0.32867,0,49.40688
8270 Otros,188.55102,56.90807,26.98426,23.97798,0,1e-05,0,103.88193,0,0,0,0,4.29996,404.60323
83 Impuestos directos,7463.1707,8126.31299,5363.72753,1187.94651,2.40213,1267.99859,59.995,679.28894,3612.77737,255.50565,569.43189,37.45957,5,28631.01687
8310 Impuesto sobre la renta,7463.1707,8126.31299,5363.72753,1187.94651,2.40213,1267.99859,59.995,679.28894,3612.77737,255.50565,569.43189,37.45957,5,28631.01687
84 Contribuciones especiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total gastos,66064.39005,49505.56508,32801.63333,11980.54616,2703.48613,9663.57566,3224.9263,18531.0666,41793.42134,7261.48212,3194.74235,5800.5521,9917.70996,262443.09718
 ,,,,,,,,,,,,,,
Total costos y gastos,130775.85896,93068.45687,82809.79623,32730.26673,3493.15457,12243.25775,7393.19843,44031.44758,77439.37293,12531.9878,7770.8597,16237.04934,25609.23274,546133.93963
 ,,,,,,,,,,,,,,
Utilidad ó pérdida,44556.25347,18825.83354,14861.06953,5921.09185,205.00338,2515.20727,374.94442,2178.75002,13320.69117,659.6945,1770.04884,604.92133,1111.90275,106905.41207
 ,,,,,,,,,,,,,,
