Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Junio de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,212001.69344,138373.14973,118049.89063,56278.05018,3131.6112,19706.63673,11286.05943,56050.22856,114926.09864,19100.64732,13738.51334,24562.17364,30685.76521,817890.51805
6110 Ingresos de operaciones de intermediación,212001.69344,138373.14973,118049.89063,56278.05018,3131.6112,19706.63673,11286.05943,56050.22856,114926.09864,19100.64732,13738.51334,24562.17364,30685.76521,817890.51805
62 Ingresos de otras operaciones,40385.34256,9997.31567,13301.03556,1832.17187,2593.24005,1291.4447,391.40611,4737.56764,9726.09406,968.2409,440.7905,1205.92935,2684.35449,89554.93346
6210 Ingresos de otras operaciones,40385.34256,9997.31567,13301.03556,1832.17187,2593.24005,1291.4447,391.40611,4737.56764,9726.09406,968.2409,440.7905,1205.92935,2684.35449,89554.93346
63 Ingresos no operacionales,16587.32775,19194.15557,15972.79804,1688.23556,109.4365,607.49854,231.8867,11216.32218,7831.64896,987.40303,364.53653,46.35245,6928.51804,81766.11985
6310 Ingresos no operacionales,16587.32775,19194.15557,15972.79804,1688.23556,109.4365,607.49854,231.8867,11216.32218,7831.64896,987.40303,364.53653,46.35245,6928.51804,81766.11985
Total ingresos,268974.36375,167564.62097,147323.72423,59798.45761,5834.28775,21605.57997,11909.35224,72004.11838,132483.84166,21056.29125,14543.84037,25814.45544,40298.63774,989211.57136
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,75907.90614,63203.64608,64514.00004,30824.33195,257.34666,3280.80022,6013.06779,37802.53298,48260.43238,8183.76748,6283.72168,15233.32124,22853.63632,382618.51096
7110 Captación de recursos,55122.65498,38506.48492,39802.76061,24095.20831,253.21396,3280.80022,5087.67449,20218.84805,28505.53907,2224.77207,5880.61955,11362.05737,16742.36208,251082.99568
7120 Saneamiento de activos de intermediación,20785.25116,17544.7353,24711.23943,6639.34108,4.1327,0,925.3933,17583.68493,19754.89331,5958.99541,403.10213,3861.65199,5941.30839,124113.72913
7130 Castigos de activos de intermediación,0,7152.42586,0,89.78256,0,0,0,0,0,0,0,9.61188,169.96585,7421.78615
72 Costos de otras operaciones,28256.10325,1629.24235,11484.80223,860.13639,957.09254,572.50338,221.64136,2203.28006,766.10414,233.41351,718.10905,853.20141,106.20159,48861.83126
7210 Operaciones en moneda extranjera,354.23454,8.08129,27.64297,70.43094,3e-05,46.56788,0,0,224.84182,0,0.0068,0,0,731.80627
7220 Cartas de crédito,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7230 Avales y fianzas,0,42.57498,1,18.04211,0.08959,2.54093,0,0,0,0,0,0,0,64.24761
7240 Prestación de servicios,22873.31278,1288.0856,10990.31934,771.66334,955.9656,415.98875,221.64136,2093.0877,541.26232,233.41351,718.10225,692.51869,106.20159,41901.56283
7250 Saneamientos,5028.55593,290.50048,465.83992,0,1.03732,107.40582,0,110.19236,0,0,0,160.68272,0,6164.21455
