Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Julio de 2022,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A. 1/","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,248130.48196,162301.8673,138521.36318,66392.44929,3836.26069,22935.42275,65793.02083,135261.20136,22876.57929,16345.74634,30442.96416,36357.78539,949195.14254
6110 Ingresos de operaciones de intermediación,248130.48196,162301.8673,138521.36318,66392.44929,3836.26069,22935.42275,65793.02083,135261.20136,22876.57929,16345.74634,30442.96416,36357.78539,949195.14254
62 Ingresos de otras operaciones,47346.97402,11633.69079,15628.50992,2133.33302,3083.69883,1522.67491,5503.5169,11264.75325,1144.17952,528.75047,1334.36822,2997.85942,104122.30927
6210 Ingresos de otras operaciones,47346.97402,11633.69079,15628.50992,2133.33302,3083.69883,1522.67491,5503.5169,11264.75325,1144.17952,528.75047,1334.36822,2997.85942,104122.30927
63 Ingresos no operacionales,19295.03196,21584.59034,18314.10588,2175.28627,111.51552,759.16,13358.83902,10261.96651,1189.63187,370.656,51.52136,7167.99241,94640.29714
6310 Ingresos no operacionales,19295.03196,21584.59034,18314.10588,2175.28627,111.51552,759.16,13358.83902,10261.96651,1189.63187,370.656,51.52136,7167.99241,94640.29714
Total ingresos,314772.48794,195520.14843,172463.97898,70701.06858,7031.47504,25217.25766,84655.37675,156787.92112,25210.39068,17245.15281,31828.85374,46523.63722,1147957.74895
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,91980.97779,74269.97351,76545.47719,36502.2631,335.31686,3872.66468,44653.47018,57250.53723,9797.25586,7555.49439,18520.4749,26152.54568,447436.45137
7110 Captación de recursos,66750.09252,45341.63325,47257.7755,28481.08968,330.75704,3835.25834,23712.89816,33890.19333,2698.20476,7044.21506,13883.59707,19869.13933,293094.85404
7120 Saneamiento de activos de intermediación,25230.88527,20802.58355,29287.70169,7931.39086,4.55982,37.40634,20940.57202,23360.3439,7099.0511,511.27933,4627.26595,6113.17898,145946.21881
7130 Castigos de activos de intermediación,0,8125.75671,0,89.78256,0,0,0,0,0,0,9.61188,170.22737,8395.37852
72 Costos de otras operaciones,32788.83913,1902.58694,13503.73059,1029.08113,1168.66441,685.29187,2645.06765,849.43514,355.59393,848.95695,1052.52173,120.16278,56949.93225
7210 Operaciones en moneda extranjera,355.67462,9.00791,27.70744,109.57716,9e-05,48.80568,0,247.41248,0,0.0068,0,0,798.19218
7220 Cartas de crédito,0,0,0,0,0,0,0,0,0,0,0,0,0
7230 Avales y fianzas,0,49.67081,1,28.57105,0.08959,2.54093,0,0,0,0,0,0,81.87238
7240 Prestación de servicios,26781.88343,1520.10481,12903.88065,890.93292,1167.53741,508.63847,2466.18572,602.02266,355.59393,848.95015,850.18425,120.16278,49016.07718
7250 Saneamientos,5651.28108,323.80341,571.1425,0,1.03732,125.30679,178.88193,0,0,0,202.33748,0,7053.79051
7260 Castigos de contingencias,0,0,0,0,0,0,0,0,0,0,0,0,0
Total costos,124769.81692,76172.56045,90049.20778,37531.34423,1503.98127,4557.95655,47298.53783,58099.97237,10152.84979,8404.45134,19572.99663,26272.70846,504386.38362
 ,,,,,,,,,,,,,
Gastos ,,,,,,,,,,,,,
81 Gastos de operación,92047.93057,72608.57959,48190.61176,18332.86161,4669.16001,14493.88988,27945.03022,64438.38689,12492.99462,4674.76716,10643.71419,15605.46404,386143.39054
8110 Gastos de funcionarios y empleados,44611.06318,37315.87734,23988.60688,9558.81338,3014.81852,9042.49434,12688.58852,22814.27545,6104.3739,2510.67285,4722.26059,6701.26029,183073.10524
8120 Gastos generales,36813.36104,26439.08264,21070.25659,7546.90678,1510.73691,3940.68054,12962.25965,37306.12319,5410.03705,1794.75789,4666.03087,7409.9197,166870.15285
8130 depreciaciones y amortizaciones,10623.50635,8853.61961,3131.74829,1227.14145,143.60458,1510.715,2294.18205,4317.98825,978.58367,369.33642,1255.42273,1494.28405,36200.13245
82 Gastos no operacionales,9317.66492,514.18699,1550.08769,1265.21028,23.23545,755.76534,4606.60443,1519.38462,34.50266,0.13952,217.04355,2337.1803,22141.00575
8210 Gastos de ejercicios anteriores,1885.82896,118.1031,222.02928,73.35334,21.79522,436.15504,302.69048,26.83002,34.50266,0,0,79.42247,3200.71057
8220 Perdidas en venta de activos,473.58905,207.33735,513.84116,184.09394,1.44023,0,1055.16973,636.5836,0,0.13952,0,353.30937,3425.50395
8230 Gastos por explotacion de activos,0,42.6819,112.57355,185.52395,0,13.70088,0,45.50685,0,0,11.59848,0,411.58561
8240 Castigos de bienes recibidos en pago o adjudicados,818.62009,58.76533,637.22216,753.65292,0,305.9094,1180.17459,350.62121,0,0,203.86982,303.06121,4611.89673
8250 Gastos por diferencias temporarias de impuestos sobre las ganancias,5723.82228,0,0,0,0,0,1876.26153,367.14229,0,0,0,1592.74977,9559.97587
8260 Perdidas por contingencias,0,0,0,0,0,0,0,92.70065,0,0,1.57525,0,94.2759
8270 Otros,415.80454,87.29931,64.42154,68.58613,0,2e-05,192.3081,0,0,0,0,8.63748,837.05712
83 Impuestos directos,18902.55524,13523.90949,8638.05429,2503.21094,186.56084,2018.23791,943.34384,7861.11761,816.20912,1028.5729,75.6562,8,56505.42838
8310 Impuesto sobre la renta,18902.55524,13523.90949,8638.05429,2503.21094,186.56084,2018.23791,943.34384,7861.11761,816.20912,1028.5729,75.6562,8,56505.42838
84 Contribuciones especiales,0,0,0,0,0,0,0,0,0,0,0,0,0
Total gastos,120268.15073,86646.67607,58378.75374,22101.28283,4878.9563,17267.89313,33494.97849,73818.88912,13343.7064,5703.47958,10936.41394,17950.64434,464789.82467
 ,,,,,,,,,,,,,
Total costos y gastos,245037.96765,162819.23652,148427.96152,59632.62706,6382.93757,21825.84968,80793.51632,131918.86149,23496.55619,14107.93092,30509.41057,44223.3528,969176.20829
 ,,,,,,,,,,,,,
Utilidad ó pérdida,69734.52029,32700.91191,24036.01746,11068.44152,648.53747,3391.40798,3861.86043,24869.05963,1713.83449,3137.22189,1319.44317,2300.28442,178781.54066
 ,,,,,,,,,,,,,
"1/ A partir de julio 2022, Banco Azul, S.A.,  absorbió a Banco G&T, S.A.",,,,,,,,,,,,,
