Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Julio de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.56,0.00,0.00,0.00,3.56
22 Otros pasivos,"66,703.23","34,798.52","47,281.86","10,226.80","2,934.18","28,260.33","2,985.69","20,627.81","22,929.10","42,606.22","3,517.74","12,344.71","1,469.88","3,858.37","300,544.45"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"31,876.21","25,287.91","28,757.91","5,231.98",826.69,"19,475.47","2,396.63","11,192.01","9,118.86","28,259.73","1,673.79","10,704.65",946.73,"1,651.25","177,399.83"
2230 Retenciones,"4,101.29","1,080.94","1,126.14",325.39,97.51,177.74,142.90,"1,016.59",673.27,"1,168.83",295.74,153.84,246.98,290.85,"10,897.99"
2240 Provisiones,"19,895.05","5,304.08","4,929.93","3,571.14","1,751.57","3,662.02",332.99,"3,120.78","11,144.18","7,359.64","1,548.20",310.86,143.69,"1,840.92","64,915.04"
224003 Otras provisiones,"7,461.92",16.20,0.00,516.81,85.63,20.28,0.00,"1,668.65","4,993.25","2,825.84",395.38,39.31,0.00,690.64,"18,713.91"
2250 Créditos diferidos,"10,830.69","3,125.58","12,467.88","1,098.29",258.41,"4,945.10",113.18,"5,298.44","1,992.80","5,818.03",0.00,"1,175.36",132.48,75.35,"47,331.59"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
