Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"107,968.77","81,057.21","55,085.76","15,116.40","3,585.45","31,437.46",0.00,"24,789.45","36,170.47","4,354.35","39,044.71","10,056.92","7,481.74","416,148.68"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"49,562.95","45,811.40","32,432.41","7,695.79","1,195.68","21,956.25",0.00,"16,501.75","16,478.39","2,573.19","37,914.09","8,028.87","2,038.44","242,189.22"
2230 Retenciones,"1,953.75","2,955.36","1,153.02",440.31,126.10,220.32,0.00,"1,193.53","1,063.25",306.33,164.23,337.50,418.91,"10,332.63"
2240 Provisiones,"33,403.27","13,236.54","6,807.96","5,929.64","2,217.02","3,371.62",0.00,"4,240.95","10,418.79","1,336.84",415.36,580.18,"4,969.48","86,927.64"
224003 Otras provisiones,"9,962.60",269.01,0.00,885.05,71.86,22.32,0.00,"1,585.45","4,221.82",276.81,41.29,0.00,"3,165.81","20,502.03"
2250 Créditos diferidos,"23,048.80","19,053.90","14,692.38","1,050.66",46.64,"5,889.27",0.00,"2,853.22","8,210.03",137.98,551.03,"1,110.37",54.91,"76,699.18"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"70,788.11",0.00,0.00,0.00,0.00,0.00,0.00,"30,487.16",0.00,0.00,0.00,0.00,0.00,"101,275.27"
241 deuda subordinada a plazo fijo,"70,788.11",0.00,0.00,0.00,0.00,0.00,0.00,"30,487.16",0.00,0.00,0.00,0.00,0.00,"101,275.27"
2413 deuda subordinada a cinco o mas años,"70,788.11",0.00,0.00,0.00,0.00,0.00,0.00,"30,487.16",0.00,0.00,0.00,0.00,0.00,"101,275.27"
Total pasivos,"5,022,964.46","3,485,546.34","2,630,193.75","1,595,143.52","162,655.20","406,173.69",0.00,"1,187,214.97","2,780,989.20","121,683.81","471,948.97","709,220.32","874,583.17","19,448,317.41"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"560,507.01","357,985.05","315,866.20","136,912.39","36,872.64","42,280.07",0.00,"109,951.89","294,066.98","26,287.37","64,314.57","113,622.58","94,949.63","2,153,616.39"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","97,418.76","30,000.00","25,205.92",0.00,"70,788.87","161,000.44","20,333.67","50,000.00","131,598.94","90,000.00","1,328,548.44"
3130 Reservas de capital,"156,935.12","90,187.82","128,256.83","24,518.98","3,848.05","3,306.94",0.00,"16,075.33","40,250.11","3,260.83","1,795.08","4,233.41","1,582.84","474,251.34"
3140 Resultados por aplicar,"106,071.89","63,095.39","37,609.37","14,974.65","3,024.60","13,767.21",0.00,"23,087.69","92,816.44","2,692.86","12,519.50","-22,209.77","3,366.78","350,816.60"
314001 Resultados de ejercicios anteriores,"2,865.75","19,710.15","2,492.01",12.35,"1,578.47","9,257.61",0.00,"17,557.06","57,990.26",0.41,"7,962.23","-25,098.39","1,880.66","96,208.55"
314002 Resultados del presente ejercicio,"103,206.14","43,385.25","35,117.36","14,962.31","1,446.13","4,509.59",0.00,"5,530.63","34,826.18","2,692.45","4,557.26","2,888.62","1,486.13","254,608.05"
