Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 29 de Febrero de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares) 1/,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
2210 Saldos entre compañias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
222 Cuentas por pagar,"162,308.0","44,903.0","47,542.3","5,504.4","10,524.8","22,590.9","13,847.5","35,663.6","1,504.7","26,462.8","7,794.2","1,871.4","380,517.6",,
2220 Cuentas por pagar,"149,578.4","25,862.6","41,099.7","5,317.5","8,814.6","19,347.7","9,387.9","34,234.7","1,484.3","23,996.8","5,356.3","1,240.1","325,720.6",,
2221 Impuestos,"12,729.6","19,040.4","6,442.5",186.9,"1,710.2","3,243.2","4,459.7","1,428.9",20.5,"2,466.0","2,437.9",631.2,"54,797.0",,
223 Retenciones y aportaciones patronales,"2,617.9","5,481.9","2,470.1",569.8,225.9,214.7,"1,524.7","1,753.9",303.4,260.6,974.1,704.0,"17,101.0",,
2230 Retenciones y aportaciones patronales,"2,617.9","5,481.9","2,470.1",569.8,225.9,214.7,"1,524.7","1,753.9",303.4,260.6,974.1,704.0,"17,101.0",,
224 Otros pasivos,"35,954.6","11,038.3","5,567.1","3,767.5","2,070.5","3,004.2","5,140.9","12,828.7",867.0,556.8,210.3,"2,493.6","83,499.5",,
2240 Provisiones,"35,954.6","11,038.3","5,567.1","3,767.5","2,070.5","3,004.2","5,140.9","12,828.7",867.0,556.8,210.3,"2,493.6","83,499.5",,
2241 Pasivos asociados a activos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2242 Opciones de pago basadas en el valor de las acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
225 Pasivos diferidos,"8,672.8","30,818.7","15,228.6",891.0,56.3,"5,482.5","2,679.7","10,063.7",527.9,955.3,"1,022.7",31.4,"76,430.7",,
2250 Pasivos diferidos,"8,672.8","30,818.7","15,228.6",891.0,56.3,"5,482.5","2,679.7","10,063.7",527.9,955.3,"1,022.7",31.4,"76,430.7",,
Total Pasivos,"5,322,679.8","3,617,398.0","2,819,451.2","2,079,924.5","193,653.6","409,625.3","1,281,633.1","3,015,175.8","151,127.3","602,994.5","800,723.4","1,110,775.2","21,405,161.7",,
,,,,,,,,,,,,,,,
Patrimonio,,,,,,,,,,,,,,,
31 Patrimonio,"492,130.8","367,099.7","321,788.1","154,983.6","32,862.1","51,199.2","96,983.4","310,305.9","30,951.1","72,689.4","86,838.9","107,591.9","2,125,424.0",,
311 Capital social,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7",,
3110 Capital social suscrito,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7",,
3111 Capital social variable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3120 Aportes de capital pendientes de formalizar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3130 Reservas de capital,"166,896.6","90,187.8","162,149.3","20,836.4","4,719.5","5,084.3","17,697.2","40,250.1","3,942.1","3,414.2","5,115.5","2,932.6","523,225.6",,
3140 Resultados por aplicar,"27,734.2","72,210.1","9,638.8","12,744.0","6,142.6","17,803.2","8,497.4","109,055.3","6,365.3","19,275.1","1,723.4","14,659.4","305,848.7",,
3150 Primas sobre acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
32 Patrimonio restringido,"58,553.6","58,993.0","28,333.7","39,227.1","6,640.2","14,887.8","16,373.7","25,710.2","3,187.6","4,123.1","8,855.6","10,355.3","275,241.1",,
3210 Utilidades no distribuibles,"57,290.4","45,522.4","24,215.1","34,264.8","6,574.2","4,056.5","17,154.9","26,195.2","3,187.6","4,123.1","8,855.6","10,278.4","241,718.4",,
3220 Donaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,32.7,,
323 Otro resultado integral,"1,263.2","13,470.5","4,118.7","4,962.3",66.0,"10,831.3",-781.2,-485.0,0.0,0.0,0.0,44.3,"33,490.0",,
3230 Otro resultado integral de ejercicios anteriores,"1,263.2","13,470.5","4,118.7","4,962.3",66.0,"10,831.3",-781.2,-485.0,0.0,0.0,0.0,44.3,"33,490.0",,
3231 Otro resultado integral del presente ejercicio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,,,,,
Total Patrimonio,"550,684.4","426,092.7","350,121.8","194,210.7","39,502.3","66,087.0","113,357.2","336,016.0","34,138.8","76,812.5","95,694.5","117,947.3","2,400,665.1",,
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio,"5,873,364.1","4,043,490.7","3,169,573.0","2,274,135.2","233,155.9","475,712.3","1,394,990.3","3,351,191.9","185,266.1","679,807.0","896,417.9","1,228,722.5","23,805,826.9",,
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"16,414.6","27,438.1","11,711.4",190.6,0.0,0.0,0.0,"61,531.2",0.0,"1,096.3","5,318.1",0.0,"123,700.4",,
5120 Contingencias por avales y fianzas,"89,072.4","75,166.7","123,456.0","18,584.7","4,870.5","5,732.4","6,438.4","70,808.6",0.0,"20,726.9","1,646.4","6,318.1","422,821.3",,
5130 Operaciones con instrumentos financieros derivados,"1,038.5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,038.5",,
5140 Procesos judiciales abiertos contra la entidad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5180 Otras,0.0,0.0,0.0,0.0,819.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.9,,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias,"106,525.5","102,604.9","135,167.4","18,775.4","5,690.4","5,732.4","6,438.4","132,339.9",0.0,"21,823.2","6,964.5","6,318.1","548,380.1",,
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias,"5,979,889.6","4,146,095.5","3,304,740.4","2,292,910.6","238,846.3","481,444.6","1,401,428.7","3,483,531.7","185,266.1","701,630.2","903,382.5","1,235,040.6","24,354,206.9",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
