Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"81,159.38","92,180.45","48,912.91","13,050.71","2,879.30","29,341.64","3,699.41","24,010.18","32,975.32","3,831.32","28,534.14","3,829.23","20,681.27","385,085.25"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"30,776.14","69,390.67","27,166.42","6,080.99",721.04,"20,416.55","3,020.80","15,582.58","14,513.12","2,284.08","27,599.91","2,753.71","16,302.87","236,608.88"
2230 Retenciones,"1,782.89","2,558.37","1,215.12",406.79,125.10,207.55,94.39,"1,232.63",918.39,275.46,152.01,314.93,418.05,"9,701.67"
2240 Provisiones,"28,966.38","12,946.19","6,794.55","5,151.74","1,965.79","3,438.82",525.08,"4,296.51","10,164.75","1,225.68",402.08,369.68,"3,902.22","80,149.46"
224003 Otras provisiones,"8,152.73",267.21,0.00,662.74,81.76,10.31,0.00,"1,336.02","4,189.41",397.08,43.71,0.00,"2,353.51","17,494.47"
2250 Créditos diferidos,"19,633.97","7,285.23","13,736.82","1,411.19",67.38,"5,278.73",59.14,"2,898.46","7,379.06",46.10,380.14,390.90,58.12,"58,625.24"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,220.89",0.00,0.00,0.00,0.00,0.00,"30,220.89"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,220.89",0.00,0.00,0.00,0.00,0.00,"30,220.89"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,220.89",0.00,0.00,0.00,0.00,0.00,"30,220.89"
Total pasivos,"4,915,955.67","3,429,746.20","2,551,399.37","1,656,501.74","189,888.18","414,952.39","282,310.26","1,197,716.73","2,744,627.10","100,899.28","408,823.78","500,251.79","863,141.16","19,256,213.64"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"508,412.60","339,660.22","299,083.16","129,711.53","35,441.30","40,522.46","58,048.71","107,166.25","276,024.67","24,607.21","62,094.79","54,381.55","80,060.75","2,015,215.21"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","25,205.92","51,598.94","70,788.87","161,000.44","20,333.67","50,000.00","80,000.00","75,000.00","1,289,563.98"
3130 Reservas de capital,"156,935.12","90,187.82","128,256.83","31,041.63","3,848.05","3,306.94","3,891.27","16,075.33","40,250.11","3,260.83","1,795.08",342.14,"1,582.84","480,773.99"
3140 Resultados por aplicar,"53,977.48","44,770.56","20,826.33","25,235.61","1,593.25","12,009.60","2,558.49","20,302.05","74,774.12","1,012.71","10,299.71","-25,960.59","3,477.90","244,877.24"
314001 Resultados de ejercicios anteriores,486.01,"21,016.63","2,807.88","17,486.50","1,291.43","9,257.61","2,028.75","17,518.14","57,754.94",0.22,"8,046.82","-26,663.20","1,910.43","112,942.16"
314002 Resultados del presente ejercicio,"53,491.46","23,753.94","18,018.45","7,749.11",301.83,"2,751.99",529.74,"2,783.90","17,019.19","1,012.49","2,252.89",702.62,"1,567.47","131,935.08"
