Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Agosto de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"131,742.09","82,148.86","51,888.97","16,178.63","4,100.81","31,311.32","16,427.23","55,179.03","2,889.17","44,051.25","7,376.66","9,700.32","452,994.33"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"80,239.94","37,008.35","29,552.87","10,222.87","1,542.27","22,150.94","8,544.57","34,891.61",724.03,"42,606.08","5,491.96","6,524.50","279,499.99"
2230 Retenciones,"2,212.78","3,246.34","1,411.64",496.52,169.41,229.27,"1,318.24","1,515.53",257.15,225.46,392.17,444.58,"11,919.10"
2240 Provisiones,"30,047.32","10,441.86","5,837.76","4,441.62","2,330.44","3,064.29","3,810.05","9,313.04","1,513.93",354.92,460.56,"2,678.29","74,294.07"
224003 Otras provisiones,"10,781.29",148.02,0.00,737.24,227.98,0.32,"1,661.62","4,262.70",555.16,53.65,0.00,"1,075.27","19,503.25"
2250 Créditos diferidos,"19,242.05","31,452.31","15,086.70","1,017.63",58.68,"5,866.81","2,754.36","9,458.85",394.06,864.80,"1,031.95",52.95,"87,281.17"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"71,572.83",0.00,0.00,0.00,0.00,0.00,"30,623.78",0.00,0.00,0.00,0.00,0.00,"102,196.61"
241 deuda subordinada a plazo fijo,"71,572.83",0.00,0.00,0.00,0.00,0.00,"30,623.78",0.00,0.00,0.00,0.00,0.00,"102,196.61"
2413 deuda subordinada a cinco o mas años,"71,572.83",0.00,0.00,0.00,0.00,0.00,"30,623.78",0.00,0.00,0.00,0.00,0.00,"102,196.61"
Total pasivos,"5,130,388.52","3,557,972.00","2,751,802.14","1,990,146.47","166,653.40","406,626.32","1,224,562.74","2,902,020.14","131,997.55","573,065.52","732,826.07","1,056,810.22","20,624,871.10"
 ,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,
31 Patrimonio,"555,996.31","373,533.41","323,117.08","153,731.21","34,877.36","47,629.22","107,191.53","308,873.49","25,879.82","69,394.37","112,696.69","100,577.73","2,213,498.21"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","121,403.22","22,000.00","28,311.68","70,788.87","161,000.44","20,643.67","50,000.00","102,270.00","90,000.00","1,318,619.72"
3130 Reservas de capital,"162,513.85","90,187.82","126,153.65","18,483.79","4,152.01","4,113.97","16,933.45","40,250.11","3,704.79","2,553.74","4,101.83","1,921.78","475,070.80"
3140 Resultados por aplicar,"95,982.45","78,643.75","46,963.42","13,844.20","8,725.35","15,203.57","19,469.21","107,622.94","1,531.35","16,840.63","6,324.87","8,655.95","419,807.69"
314001 Resultados de ejercicios anteriores,"8,753.21","44,684.53","23,962.88",19.78,"5,680.09","10,494.53","14,830.01","79,400.94",0.46,"12,740.73",0.00,"4,625.24","205,192.39"
314002 Resultados del presente ejercicio,"87,229.24","33,959.22","23,000.54","13,824.41","3,045.26","4,709.04","4,639.21","28,222.00","1,530.89","4,099.90","6,324.87","4,030.71","214,615.30"
32 Patrimonio restringido,"64,120.06","61,055.58","27,769.95","31,003.59","1,358.42","14,855.00","16,533.36","25,445.74","6,723.51","3,688.27","8,364.19","10,967.09","271,884.77"
3210 Utilidades no distribuibles,"28,615.18","42,617.71","15,081.50","16,944.85","1,358.42",0.00,"13,678.78","21,919.52","6,722.93","3,572.00","6,002.95","6,093.17","162,607.03"
3220 Revaluaciones,"8,478.10","13,997.27","4,375.04","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"42,688.24"
3230 Recuperaciones de activos castigados,0.00,217.64,713.46,"4,652.99",0.00,0.00,259.26,577.82,0.00,0.00,37.00,57.06,"6,515.23"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"27,026.77","4,222.96","7,599.95","4,443.45",0.00,"4,023.74","2,595.32","2,948.40",0.58,116.26,"2,324.24","4,739.89","60,041.57"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"620,116.36","434,588.99","350,887.03","184,734.80","36,235.78","62,484.22","123,724.89","334,319.23","32,603.33","73,082.64","121,060.88","111,544.82","2,485,382.98"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,750,504.88","3,992,560.99","3,102,689.17","2,174,881.27","202,889.18","469,110.55","1,348,287.63","3,236,339.37","164,600.89","646,148.16","853,886.95","1,168,355.05","23,110,254.07"
 ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"10,512.81","23,742.33","8,987.68","1,766.58",0.00,0.00,421.26,"55,129.79",0.00,"1,104.91","3,862.99",0.00,"105,528.36"
5120 Contingencias por avales y fianzas,"85,757.95","76,396.55","129,907.93","19,140.66","5,454.08","5,714.75","6,761.01","71,398.99",0.00,"19,666.92","1,935.10","8,226.24","430,360.17"
5131 Compromisos por operaciones en moneda extranjera,"8,612.84",325.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,938.28"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"104,883.59","100,464.33","138,895.61","20,907.23","5,454.08","5,714.75","7,182.26","126,528.79",0.00,"20,771.83","5,798.09","8,226.24","544,826.80"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,855,388.47","4,093,025.32","3,241,584.78","2,195,788.50","208,343.26","474,825.30","1,355,469.89","3,362,868.16","164,600.89","666,919.99","859,685.04","1,176,581.28","23,655,080.88"
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
