Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2230 Retenciones,"1,717.89","1,243.97","1,174.37",336.49,93.39,176.86,124.37,996.94,692.75,945.21,339.76,118.38,248.79,294.64,"8,503.81"
2240 Provisiones,"20,999.38","5,808.28","5,243.26","3,958.00","1,825.68","3,769.28",370.53,"3,414.21","11,714.71","7,442.02","1,305.69",350.70,182.22,"2,150.78","68,534.73"
224003 Otras provisiones,"7,624.08",17.78,0.00,643.19,78.89,23.03,0.00,"1,798.52","5,298.03","3,086.11",133.65,50.53,0.00,945.36,"19,699.16"
2250 Créditos diferidos,"10,868.68","3,057.81","11,834.21","1,189.06",227.43,"4,967.10",106.47,"5,467.78","1,915.27","5,715.59",0.00,"1,569.80",134.03,74.95,"47,128.17"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,417.50",0.00,0.00,0.00,0.00,0.00,0.00,"30,417.50"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,417.50",0.00,0.00,0.00,0.00,0.00,0.00,"30,417.50"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,417.50",0.00,0.00,0.00,0.00,0.00,0.00,"30,417.50"
Total pasivos,"4,637,380.60","1,550,481.55","2,658,837.83","1,107,247.00","246,215.24","374,044.27","375,671.60","1,204,038.51","1,705,034.85","2,402,982.03","53,194.97","369,805.39","454,918.86","610,173.76","17,750,026.47"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"483,350.90","166,327.28","264,695.63","106,122.70","40,048.69","33,714.27","58,133.39","103,266.12","205,834.51","255,659.63","25,145.17","35,234.26","53,753.77","63,705.72","1,894,992.05"
3110 Capital social pagado,"297,500.00","90,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","68,783.09","101,131.20","161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,210,004.90"
3130 Reservas de capital,"141,273.03","41,942.66","102,621.29","57,722.21","3,377.98","2,410.06","5,006.98","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"460,023.10"
3140 Resultados por aplicar,"44,577.87","33,813.98","12,074.34","3,371.04","6,670.71","12,246.75","1,527.47","20,175.37","56,458.15","56,207.02","1,928.15","4,309.36","-26,253.70","-2,142.47","224,964.05"
314001 Resultados de ejercicios anteriores,-941.72,"23,095.28","1,375.31",25.00,"4,816.18","10,741.50",573.03,"17,165.13","48,599.57","43,227.64",607.52,"2,999.15","-26,663.20","-2,725.14","122,895.26"
314002 Resultados del presente ejercicio,"45,519.59","10,718.70","10,699.03","3,346.04","1,854.53","1,505.25",954.44,"3,010.24","7,858.59","12,979.37","1,320.63","1,310.21",409.51,582.67,"102,068.79"
