Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Junio de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2142 Pactados a mas de un año plazo,"212,086.81","60,104.80","200,503.39",0.00,0.00,0.00,"25,098.36",0.00,"130,793.31","191,491.83",0.00,0.00,"62,883.02","72,261.79","955,223.30"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.20,0.00,0.00,0.00,22.20
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.20,0.00,0.00,0.00,22.20
22 Otros pasivos,"109,739.11","29,963.57","47,290.13","10,441.88","2,832.85","28,071.57","3,590.91","23,402.78","21,973.60","32,555.24","3,846.20","15,227.96","1,588.77","3,715.60","334,240.19"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"73,694.87","20,457.08","28,263.14","5,464.22",694.67,"19,393.05","2,745.33","13,918.04","8,206.89","18,933.56","1,709.51","13,606.11","1,014.85","1,560.51","209,661.84"
2230 Retenciones,"5,931.88","1,423.81","1,578.69",528.47,199.22,286.45,421.11,"1,197.48",975.02,"1,430.15",277.10,194.49,337.47,379.40,"15,160.76"
2240 Provisiones,"19,205.34","4,908.85","4,635.45","3,351.30","1,674.72","3,535.56",302.53,"2,578.33","10,705.14","6,345.73","1,515.58",314.25,106.80,"1,697.87","60,877.45"
224003 Otras provisiones,"7,712.59",14.59,0.00,535.05,115.49,17.78,0.00,"1,287.97","4,814.18","1,857.64",356.29,51.80,0.00,598.82,"17,362.22"
2250 Créditos diferidos,"10,907.02","3,173.83","12,812.84","1,097.89",264.25,"4,856.50",121.95,"5,708.94","2,086.55","5,845.79",344.01,"1,113.11",129.64,77.82,"48,540.14"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
