Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A. 1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"54,948.11","31,462.92","40,083.26","24,520.61","1,159.86","20,923.62","3,394.29","14,393.11",0.00,"22,668.25","2,811.73","11,956.38","1,283.39","1,598.95","231,204.50"
2230 Retenciones,"1,592.41","2,597.19","1,227.14",371.97,101.81,174.64,120.64,930.92,0.00,866.00,299.06,116.04,254.71,315.31,"8,967.85"
2240 Provisiones,"23,686.83","18,627.72","8,029.85","5,019.28","2,052.61","3,899.51",500.51,"4,235.00",0.00,"8,538.96",985.59,418.35,457.82,"2,169.46","78,621.49"
224003 Otras provisiones,"7,632.98","4,593.97","1,994.76",643.15,83.63,31.74,0.00,"2,155.45",0.00,"2,606.87",235.76,42.23,0.00,823.51,"20,844.05"
2250 Créditos diferidos,"11,282.20","4,804.63","10,594.04","1,253.69",153.70,"5,099.86",81.20,"4,973.73",0.00,"5,708.16",0.00,"1,173.55",158.98,68.70,"45,352.45"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,212.85",0.00,0.00,0.00,0.00,0.00,0.00,"30,212.85"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,212.85",0.00,0.00,0.00,0.00,0.00,0.00,"30,212.85"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,212.85",0.00,0.00,0.00,0.00,0.00,0.00,"30,212.85"
Total pasivos,"4,636,522.87","3,277,822.50","2,594,739.69","1,261,991.78","273,655.01","380,496.50","379,691.89","1,197,211.24",0.00,"2,528,721.60","56,161.32","360,481.96","456,120.08","671,410.48","18,075,026.92"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"500,949.00","368,500.47","267,219.05","107,434.15","40,567.14","34,162.65","56,763.11","106,514.23",0.00,"267,636.82","24,910.28","35,843.30","54,194.99","63,673.48","1,928,368.67"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","70,788.87",0.00,"161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,225,010.68"
3130 Reservas de capital,"141,273.03","90,187.82","102,621.29","57,722.21","3,377.98","2,410.06","3,560.18","14,307.66",0.00,"38,452.17","2,883.35",924.90,7.46,848.19,"458,576.30"
3140 Resultados por aplicar,"62,175.97","73,610.82","14,597.76","4,682.49","7,189.16","12,695.13","1,603.99","21,417.70",0.00,"68,184.21","1,693.26","4,918.40","-25,812.47","-2,174.71","244,781.69"
314001 Resultados de ejercicios anteriores,"-1,208.88","59,204.65","1,611.41",25.00,"4,816.18","10,741.50",73.02,"17,162.59",0.00,"43,129.64",607.74,"3,000.68","-26,663.20","-3,325.14","109,175.18"
314002 Resultados del presente ejercicio,"63,384.85","14,406.17","12,986.35","4,657.49","2,372.98","1,953.63","1,530.97","4,255.11",0.00,"25,054.57","1,085.52","1,917.72",850.73,"1,150.43","135,606.51"
32 Patrimonio restringido,"84,524.12","58,335.76","38,596.88","27,187.43","4,399.19","13,972.49","2,627.81","14,898.34",0.00,"26,292.12",742.73,"2,443.26",37.63,"10,407.07","284,464.84"
3210 Utilidades no distribuibles,"28,671.26","38,460.41","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50",0.00,"18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","14,158.96","4,345.38","4,962.30",0.00,"10,141.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"43,468.79"
3230 Recuperaciones de activos castigados,0.00,128.46,"1,165.35","2,424.21",0.00,0.00,56.41,87.21,0.00,"1,092.65",0.00,0.00,0.00,33.99,"4,988.28"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"45,992.63","5,587.93","13,994.74","6,077.30",31.38,"3,830.58","1,259.60","6,077.63",0.00,"6,608.65",0.51,86.50,37.63,"5,673.98","95,259.07"
Total patrimonio,"585,473.12","426,836.23","305,815.93","134,621.57","44,966.32","48,135.14","59,390.92","121,412.57",0.00,"293,928.95","25,653.02","38,286.56","54,232.62","74,080.55","2,212,833.51"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,221,996.00","3,704,658.74","2,900,555.62","1,396,613.35","318,621.33","428,631.65","439,082.80","1,318,623.80",0.00,"2,822,650.54","81,814.33","398,768.52","510,352.70","745,491.04","20,287,860.42"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"13,799.81","20,111.79","9,362.98",150.23,83.47,0.00,"6,768.97",0.00,0.00,"30,188.19",0.00,498.81,57.01,0.00,"81,021.25"
5120 Contingencias por avales y fianzas,"131,561.74","131,119.02","74,859.85","16,809.92","10,298.25","6,380.00","4,055.76","10,308.13",0.00,"69,054.56",0.00,"16,966.23",0.00,"3,073.67","474,487.14"
