Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de abril de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,663,787.31 "," 3,754,316.18 "," 2,737,345.76 "," 1,658,513.74 "," 180,424.36 "," 413,089.68 "," 1,285,970.72 "," 3,241,692.49 "," 165,700.57 "," 696,182.59 "," 853,807.28 "," 220,090.86 "," 1,077,419.36 "," 21,948,340.90 ",
2110 Depósitos a la vista," 4,053,566.88 "," 2,406,976.30 "," 1,478,433.63 "," 730,793.59 "," 163,755.81 "," 264,835.11 "," 602,311.59 "," 1,951,947.39 "," 23,990.77 "," 270,353.03 "," 271,968.21 "," 46,863.50 "," 362,249.25 "," 12,628,045.05 ",
2111 Depósitos pactados hasta un año plazo," 1,028,503.60 "," 1,041,431.93 "," 987,304.94 "," 630,451.51 ", -   ," 114,601.84 "," 441,258.39 "," 888,780.44 "," 104,562.06 "," 331,012.93 "," 398,013.71 "," 108,038.84 "," 377,429.38 "," 6,451,389.58 ",
2112 Depósitos pactados a más de un año plazo," 114,761.29 "," 37,378.62 "," 62,890.34 "," 201,267.07 ", -   , 38.40 ," 45,846.96 "," 107,731.92 "," 23,082.83 "," 5,306.68 "," 14,916.30 "," 3,445.13 "," 170,274.49 "," 786,940.04 ",
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 23,213.30 "," 23,213.30 ",
2114 Depósitos restringidos e inactivos," 80,108.29 "," 66,880.98 "," 57,008.69 "," 36,900.06 ", 451.72 ," 10,666.21 "," 26,138.88 "," 18,916.04 "," 2,773.20 "," 4,897.10 "," 8,648.54 "," 3,486.40 "," 10,404.36 "," 327,280.48 ",
2115 Operaciones con pacto de retrocompra, -   , -   ," 2,000.00 ", -   , -   , -   , -   , -   ," 4,300.00 ", -   , -   , -   , -   ," 6,300.00 ",
2116 Préstamos pactados hasta un año plazo, -   ," 1,380.05 "," 34,339.77 "," 15,064.28 "," 15,001.82 ", 16.16 ," 21,501.72 "," 53,532.35 "," 3,421.67 "," 39,536.13 "," 2,834.69 "," 15,379.42 "," 17,523.60 "," 219,531.65 ",
2117 Préstamos pactados a más de un año plazo," 73,690.33 "," 67,752.58 "," 57,547.60 "," 41,364.13 ", -   ," 2,612.40 "," 53,935.34 "," 220,784.35 ", -   ," 45,076.73 "," 68,339.60 "," 30,857.69 "," 74,817.32 "," 736,778.08 ",
