Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2110 Depósitos a la vista," 4,013,890.15 "," 2,458,491.99 "," 1,487,405.34 "," 729,247.90 "," 133,064.89 "," 280,811.75 "," 631,407.12 "," 1,973,421.50 "," 23,581.79 "," 276,741.25 "," 236,333.85 "," 67,070.04 "," 386,427.39 "," 12,697,894.97 ",
2111 Depósitos pactados hasta un año plazo," 1,118,801.67 "," 1,130,984.11 "," 1,151,887.88 "," 729,580.43 ", -   ," 116,468.78 "," 452,236.27 "," 961,291.67 "," 124,682.92 "," 400,471.49 "," 417,762.19 "," 115,642.34 "," 448,653.57 "," 7,168,463.30 ",
2112 Depósitos pactados a más de un año plazo," 136,169.59 "," 41,575.65 "," 54,292.24 "," 199,054.35 ", -   , 47.45 ," 46,259.91 "," 118,971.41 "," 26,579.96 "," 3,985.11 "," 13,162.15 "," 3,072.27 "," 158,225.95 "," 801,396.04 ",
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 22,950.57 "," 22,950.57 ",
2114 Depósitos restringidos e inactivos," 80,853.39 "," 70,819.24 "," 56,725.94 "," 36,532.29 ", 778.22 ," 12,021.78 "," 26,339.35 "," 21,294.13 "," 2,603.65 "," 8,468.17 "," 9,732.32 "," 2,771.62 "," 12,776.17 "," 341,716.26 ",
2115 Operaciones con pacto de retrocompra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 10,000.00 ", -   , -   ," 10,000.00 ",
2116 Préstamos pactados hasta un año plazo," 20,230.00 "," 1,349.08 "," 31,289.55 "," 15,058.99 "," 30,010.92 ", 16.16 ," 18,504.13 "," 36,990.83 "," 2,301.14 "," 46,885.23 "," 10,233.48 "," 5,933.51 "," 19,204.90 "," 238,007.92 ",
2117 Préstamos pactados a más de un año plazo," 305,656.18 "," 65,135.27 "," 57,294.35 "," 32,243.25 ", -   ," 4,725.14 "," 53,436.06 "," 256,395.03 ", -   ," 36,465.67 "," 67,883.32 "," 28,797.42 "," 72,804.69 "," 980,836.37 ",
2118 Préstamos pactados a cinco o mas años plazo," 7,544.56 "," 118,605.41 "," 43,327.18 "," 1,387.64 "," 1,114.52 "," 20,137.96 "," 50,695.17 ", -   ," 6,037.33 ", -   ," 86,809.17 "," 12,137.35 "," 37,385.12 "," 385,181.43 ",
2119 Préstamos subordinados," 70,890.15 ", -   , -   , -   , -   , -   ," 44,768.28 ", -   , -   , -   , -   , -   , -   ," 115,658.43 ",
212 Títulos de emisión propia," 49,479.58 "," 127,356.59 "," 142,898.37 "," 398,818.10 ", -   , -   ," 39,837.52 "," 119,144.53 "," 7,675.37 "," 53,201.25 "," 16,041.48 "," 8,032.90 "," 98,331.23 "," 1,060,816.92 ",
2120 Títulos de emisión propia," 49,479.58 "," 127,356.59 "," 142,898.37 "," 398,818.10 ", -   , -   ," 39,837.52 "," 119,144.53 "," 7,675.37 "," 53,201.25 "," 16,041.48 "," 8,032.90 "," 98,331.23 "," 1,060,816.92 ",
213 Obligaciones a la vista," 20,421.84 "," 32,291.12 "," 15,553.85 "," 28,120.59 "," 1,150.58 ", 30.96 ," 6,347.15 "," 36,209.85 ", 663.50 ," 5,974.59 "," 4,987.82 "," 2,363.29 "," 2,675.37 "," 156,790.51 ",
2130 Obligaciones a la vista," 20,421.84 "," 32,291.12 "," 15,553.85 "," 28,120.59 "," 1,150.58 ", 30.96 ," 6,347.15 "," 36,209.85 ", 663.50 ," 5,974.59 "," 4,987.82 "," 2,363.29 "," 2,675.37 "," 156,790.51 ",
22 Otros pasivos," 249,141.10 "," 79,768.97 "," 53,919.95 "," 12,209.23 "," 5,474.05 "," 31,170.50 "," 21,949.03 "," 48,056.82 "," 3,081.04 "," 18,770.23 "," 8,174.37 "," 6,699.80 "," 10,938.97 "," 549,354.05 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 193,942.72 "," 37,975.63 "," 22,515.59 "," 7,217.00 "," 2,826.74 "," 22,620.53 "," 13,266.46 "," 13,953.37 "," 1,135.31 "," 15,883.69 "," 5,717.58 "," 5,187.85 "," 6,412.16 "," 348,654.63 ",
