Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2142 Pactados a mas de un año plazo,"212,120.14","60,114.34","200,659.43",0.00,0.00,0.00,"25,102.46",0.00,"130,800.46","191,491.71",0.00,0.00,"62,402.53","71,581.24","954,272.31"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,355.85","2,000.00","18,355.85"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,355.85","2,000.00","18,355.85"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.00,0.00,0.00,1.24
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.00,0.00,0.00,1.24
22 Otros pasivos,"193,207.96","34,885.98","50,673.71","18,412.53","3,663.65","35,050.88","8,946.40","16,925.95","46,324.55","35,040.63","4,596.52","20,601.61","1,677.49","13,653.94","483,661.81"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"155,102.44","24,625.21","26,898.36","13,861.16","1,627.16","25,414.24","8,295.30","7,111.62","33,642.91","20,453.23","2,939.02","18,698.81",789.87,"11,678.66","351,137.99"
2230 Retenciones,"4,482.71","1,253.69","1,808.75",428.56,110.12,183.80,121.58,"1,227.59",706.45,"1,978.66",285.79,144.49,398.76,335.61,"13,466.56"
2240 Provisiones,"22,354.40","5,593.34","5,193.84","3,479.56","1,729.22","3,889.89",426.71,"2,737.09","9,629.16","6,247.81","1,371.71",282.89,297.75,"1,560.37","64,793.74"
224003 Otras provisiones,"7,347.85",7.83,0.00,342.12,170.71,9.49,0.00,"1,134.74","3,825.89","1,278.15",280.82,56.17,0.00,631.67,"15,085.43"
2250 Créditos diferidos,"11,268.41","3,413.75","16,772.76",643.24,197.15,"5,562.95",102.82,"5,849.64","2,346.04","6,360.92",0.00,"1,475.41",191.11,79.30,"54,263.52"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,250.28",0.00,0.00,0.00,0.00,0.00,0.00,"30,250.28"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,250.28",0.00,0.00,0.00,0.00,0.00,0.00,"30,250.28"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,250.28",0.00,0.00,0.00,0.00,0.00,0.00,"30,250.28"
Total pasivos,"4,794,319.68","1,527,420.79","2,560,887.75","1,011,160.38","254,473.60","381,987.05","355,721.59","1,142,870.87","1,800,695.78","2,472,535.03","53,875.96","367,627.98","454,528.83","612,524.19","17,790,629.48"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"464,797.59","160,914.02","259,084.05","105,236.85","38,775.29","32,557.73","57,642.88","101,354.58","203,031.23","254,913.85","24,132.94","34,352.70","53,082.27","53,747.33","1,843,623.31"
3110 Capital social pagado,"297,500.00","90,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","68,783.09","101,131.20","161,000.44","20,333.67","30,000.00","80,000.00","55,000.00","1,200,004.90"
