Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,223.12",0.00,0.00,0.00,0.00,0.00,0.00,"30,223.12"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,223.12",0.00,0.00,0.00,0.00,0.00,0.00,"30,223.12"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,223.12",0.00,0.00,0.00,0.00,0.00,0.00,"30,223.12"
Total pasivos,"4,588,414.45","1,559,638.91","2,600,307.75","1,120,309.19","247,371.95","371,726.35","378,038.76","1,199,006.57","1,717,212.81","2,436,108.38","56,802.90","358,800.00","465,758.92","617,855.28","17,717,352.22"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"490,037.89","179,769.74","266,185.75","106,587.04","40,143.11","33,909.11","58,279.98","103,568.38","200,517.77","259,165.80","25,446.78","35,432.52","53,948.75","63,773.40","1,916,766.03"
3110 Capital social pagado,"297,500.00","103,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","68,783.09","101,131.20","161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,223,004.90"
3130 Reservas de capital,"141,273.03","41,942.66","102,621.29","57,722.21","3,377.98","2,410.06","5,006.98","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"460,023.10"
3140 Resultados por aplicar,"51,264.86","34,256.44","13,564.46","3,835.38","6,765.13","12,441.59","1,674.05","20,477.63","51,141.42","59,713.19","2,229.76","4,507.62","-26,058.72","-2,074.79","233,738.03"
314001 Resultados de ejercicios anteriores,"-1,004.66","23,096.37","1,521.48",25.00,"4,816.18","10,741.50",573.02,"17,165.15","42,249.57","43,311.49",606.38,"2,989.53","-26,663.20","-2,725.14","116,702.66"
314002 Resultados del presente ejercicio,"52,269.52","11,160.07","12,042.98","3,810.38","1,948.95","1,700.09","1,101.03","3,312.49","8,891.85","16,401.70","1,623.39","1,518.09",604.49,650.35,"117,035.37"
32 Patrimonio restringido,"84,272.29","27,517.14","38,779.98","26,830.98","4,399.19","13,931.54","2,842.16","14,775.37","30,666.60","26,177.62",744.10,"2,454.41",8.67,"9,967.27","283,367.32"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","8,817.28","4,344.80","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"43,468.21"
3230 Recuperaciones de activos castigados,0.00,6.66,"1,168.50","2,446.95",0.00,0.00,56.41,87.21,128.46,"1,093.96",0.00,0.00,0.00,41.74,"5,029.89"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"45,740.80",323.28,"14,175.27","5,698.11",31.38,"3,789.63","1,473.96","5,954.66","5,105.98","6,492.84",1.88,97.65,8.67,"5,226.43","94,120.52"
Total patrimonio,"574,310.18","207,286.88","304,965.73","133,418.02","44,542.30","47,840.66","61,122.14","118,343.75","231,184.37","285,343.42","26,190.88","37,886.93","53,957.41","73,740.67","2,200,133.35"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,162,724.63","1,766,925.79","2,905,273.47","1,253,727.21","291,914.25","419,567.00","439,160.90","1,317,350.32","1,948,397.18","2,721,451.81","82,993.78","396,686.93","519,716.33","691,595.95","19,917,485.57"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"17,034.38","10,686.80","6,514.10",36.28,28.50,0.00,"7,276.97",0.00,"3,146.81","17,241.72",0.00,348.97,67.59,0.00,"62,382.13"
5120 Contingencias por avales y fianzas,"109,475.89","41,945.09","80,357.47","15,256.45","10,007.66","6,383.03","3,282.34","9,803.10","99,043.42","71,121.07",0.00,"18,026.19",0.00,"3,073.67","467,775.38"
5131 Compromisos por operaciones en moneda extranjera,0.00,0.00,0.00,0.00,423.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423.98
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"126,510.27","52,631.89","86,871.57","15,292.73","10,460.15","6,383.03","10,559.31","9,803.10","102,190.23","88,362.79",0.00,"18,375.15",67.59,"3,073.67","530,581.49"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,289,234.90","1,819,557.68","2,992,145.05","1,269,019.94","302,374.39","425,950.03","449,720.22","1,327,153.43","2,050,587.41","2,809,814.60","82,993.78","415,062.08","519,783.92","694,669.62","20,448,067.06"
 ,,,,,,,,,,,,,,,
"1/ Mediante Escritura de Modificación al Pacto Social inscrita el 22 de mayo de 2020, Scotiabank El Salvador, S. A. cambio su razón social a Banco Cuscatlán SV, S. A.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
