Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de junio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,409,673.00 "," 3,859,565.65 "," 2,808,838.91 "," 1,787,758.99 "," 153,568.65 "," 425,166.54 "," 1,298,651.59 "," 3,237,987.43 "," 173,323.75 "," 732,908.11 "," 862,050.18 "," 223,249.16 "," 1,108,339.54 "," 22,081,081.49 ",
2110 Depósitos a la vista," 3,903,634.15 "," 2,436,385.33 "," 1,486,038.61 "," 808,006.60 "," 131,784.48 "," 272,990.98 "," 609,757.49 "," 1,903,019.39 "," 25,932.51 "," 280,035.17 "," 269,370.71 "," 59,117.25 "," 356,484.65 "," 12,542,557.32 ",
2111 Depósitos pactados hasta un año plazo," 1,046,747.29 "," 1,112,033.07 "," 1,056,372.46 "," 687,965.89 ", -   ," 114,291.94 "," 450,576.03 "," 932,302.63 "," 114,426.21 "," 353,032.77 "," 406,129.72 "," 103,958.39 "," 404,442.63 "," 6,782,279.03 ",
2112 Depósitos pactados a más de un año plazo," 127,081.33 "," 40,887.86 "," 57,668.33 "," 202,166.97 ", -   , 43.14 ," 46,223.48 "," 116,637.13 "," 24,624.48 "," 4,146.59 "," 13,987.62 "," 3,298.55 "," 169,108.72 "," 805,874.20 ",
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 22,173.82 "," 22,173.82 ",
2114 Depósitos restringidos e inactivos," 80,972.84 "," 80,570.60 "," 54,989.82 "," 37,332.62 ", 610.74 ," 11,815.39 "," 25,093.76 "," 19,435.27 "," 2,424.22 "," 8,159.03 "," 8,557.89 "," 3,003.09 "," 11,945.07 "," 344,910.35 ",
2115 Operaciones con pacto de retrocompra, -   , -   ," 2,250.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,002.58 "," 5,252.58 ",
2116 Préstamos pactados hasta un año plazo," 20,057.78 "," 1,449.94 "," 48,457.11 "," 15,061.91 "," 20,008.43 ", 16.16 ," 18,307.44 "," 56,676.63 "," 2,301.14 "," 44,340.57 "," 10,432.21 "," 11,842.07 "," 25,633.97 "," 274,585.36 ",
2117 Préstamos pactados a más de un año plazo," 155,490.97 "," 65,293.95 "," 57,105.08 "," 35,119.60 ", -   ," 5,493.59 "," 53,045.20 "," 209,916.38 ", -   ," 43,193.98 "," 64,735.83 "," 29,998.60 "," 76,000.08 "," 795,393.26 ",
