Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de octubre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
2110 Depósitos a la vista," 3,396,616.96 "," 2,068,799.25 "," 1,361,416.90 "," 653,477.61 "," 161,439.57 "," 248,213.03 "," 553,831.00 "," 1,741,483.66 "," 16,590.59 "," 215,598.45 "," 240,814.64 "," 40,193.92 "," 336,307.23 "," 11,034,782.82 ",,
2111 Depósitos pactados hasta un año plazo," 907,959.10 "," 1,023,740.11 "," 998,044.01 "," 626,148.42 ", -   ," 107,562.50 "," 443,334.28 "," 889,353.07 "," 90,427.17 "," 277,851.27 "," 356,054.63 "," 87,764.19 "," 338,937.30 "," 6,147,176.05 ",,
2112 Depósitos pactados a más de un año plazo," 106,485.88 "," 36,255.27 "," 86,072.94 "," 198,092.46 ", -   , 24.91 ," 39,712.54 "," 94,036.75 "," 22,489.99 "," 7,733.34 "," 19,006.02 "," 4,036.78 "," 170,244.15 "," 784,191.01 ",,
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 22,536.39 "," 22,536.39 ",,
2114 Depósitos restringidos e inactivos," 81,648.63 "," 64,757.88 "," 58,059.68 "," 34,182.33 "," 1,792.26 "," 10,448.49 "," 28,347.58 "," 19,815.69 "," 3,064.10 "," 3,866.46 "," 8,018.94 "," 3,304.57 "," 9,458.41 "," 326,765.02 ",,
2115 Operaciones con pacto de retrocompra, -   , -   , 409.71 , -   , -   , -   , -   , -   , -   , -   ," 14,728.08 ", -   , -   ," 15,137.80 ",,
2116 Préstamos pactados hasta un año plazo," 61,064.84 "," 41,946.66 "," 63,850.76 "," 15,074.86 "," 20,029.73 ", 16.16 ," 31,311.00 "," 129,498.87 "," 5,184.60 "," 33,318.84 "," 8,547.31 "," 11,292.89 "," 20,318.91 "," 441,455.43 ",,
2117 Préstamos pactados a más de un año plazo," 73,992.09 "," 26,743.51 "," 56,973.93 "," 43,443.82 ", -   ," 2,992.15 "," 33,351.60 "," 161,566.36 ", -   ," 27,502.41 "," 40,099.57 "," 41,918.29 "," 80,512.74 "," 589,096.47 ",,
2118 Préstamos pactados a cinco o mas años plazo," 241,573.03 "," 159,706.35 "," 72,144.75 "," 4,107.53 "," 1,362.30 "," 20,371.05 "," 53,341.46 ", -   ," 4,083.53 ", -   ," 64,005.59 "," 14,381.17 "," 50,148.83 "," 685,225.57 ",,
2119 Préstamos subordinados," 70,301.72 ", -   , -   , -   , -   , -   ," 45,581.54 ", -   , -   , -   , -   , -   , -   ," 115,883.26 ",,
