Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de enero de 2025,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
2110 Depósitos a la vista," 3,710,425.24 "," 2,175,558.11 "," 1,490,565.95 "," 645,728.63 "," 127,226.05 "," 247,110.31 "," 565,065.43 "," 1,872,394.37 "," 20,759.92 "," 222,413.87 "," 263,164.67 "," 43,422.74 "," 300,975.84 "," 11,684,811.14 ",,
2111 Depósitos pactados hasta un año plazo," 971,524.89 "," 1,026,568.22 "," 1,006,021.71 "," 640,278.53 "," 1,012.96 "," 109,657.98 "," 443,799.19 "," 892,192.87 "," 96,725.72 "," 295,713.62 "," 335,868.05 "," 97,351.71 "," 350,118.28 "," 6,266,833.73 ",,
2112 Depósitos pactados a más de un año plazo," 104,304.30 "," 34,547.85 "," 69,653.71 "," 200,070.40 ", -   , 30.56 ," 45,359.18 "," 101,209.01 "," 22,762.65 "," 7,714.98 "," 16,242.74 "," 3,661.61 "," 170,296.28 "," 775,853.26 ",,
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 23,058.97 "," 23,058.97 ",,
2114 Depósitos restringidos e inactivos," 79,369.25 "," 64,354.54 "," 55,994.88 "," 35,024.77 "," 3,373.84 "," 9,650.51 "," 28,921.12 "," 18,118.50 "," 2,933.05 "," 4,180.72 "," 7,341.19 "," 4,093.61 "," 22,207.70 "," 335,563.67 ",,
2115 Operaciones con pacto de retrocompra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,850.09 "," 1,850.09 ",,
2116 Préstamos pactados hasta un año plazo, -   ," 1,263.74 "," 35,900.50 "," 15,073.89 "," 15,003.63 ", 16.16 ," 21,326.91 "," 117,936.22 "," 4,176.56 "," 29,865.93 "," 11,298.09 "," 18,587.40 "," 20,413.47 "," 290,862.49 ",,
2117 Préstamos pactados a más de un año plazo," 71,746.23 "," 74,207.67 "," 57,540.90 "," 57,089.40 ", -   ," 2,832.27 "," 53,455.67 "," 231,836.79 ", -   ," 54,016.69 "," 34,485.62 "," 32,633.84 "," 76,068.40 "," 745,913.48 ",,
2118 Préstamos pactados a cinco o mas años plazo," 237,232.92 "," 154,217.17 "," 60,149.47 "," 3,385.23 "," 1,289.17 "," 20,047.32 "," 53,563.99 ", -   ," 3,504.17 ", -   ," 101,391.31 "," 12,084.42 "," 47,154.98 "," 694,020.14 ",,
2119 Préstamos subordinados," 70,290.81 ", -   , -   , -   , -   , -   ," 45,876.82 ", -   , -   , -   , -   , -   , -   ," 116,167.63 ",,
212 Títulos de emisión propia," 117,278.07 "," 143,437.49 "," 143,132.12 "," 398,873.90 ", -   , -   ," 41,215.42 "," 147,822.21 "," 8,596.61 "," 56,701.26 "," 21,338.43 "," 11,105.48 "," 164,806.07 "," 1,254,307.06 ",,
2120 Títulos de emisión propia," 117,278.07 "," 143,437.49 "," 143,132.12 "," 398,873.90 ", -   , -   ," 41,215.42 "," 147,822.21 "," 8,596.61 "," 56,701.26 "," 21,338.43 "," 11,105.48 "," 164,806.07 "," 1,254,307.06 ",,
213 Obligaciones a la vista," 18,748.50 "," 17,322.42 "," 21,567.93 "," 28,871.58 "," 1,410.74 ", 195.96 ," 5,716.80 "," 27,258.88 ", 927.08 ," 5,952.91 "," 2,362.58 "," 1,786.46 "," 1,672.15 "," 133,793.99 ",,
