Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2111 Depósitos pactados hasta un año plazo," 1,176,129.10 "," 1,132,977.23 "," 1,135,065.32 "," 714,302.48 ", -   ," 117,107.98 "," 454,582.68 "," 942,354.22 "," 127,573.91 "," 419,602.86 "," 440,798.15 "," 123,353.35 "," 451,078.77 "," 7,234,926.06 ",
2112 Depósitos pactados a más de un año plazo," 143,223.07 "," 43,074.32 "," 51,061.05 "," 199,683.24 ", -   , 47.68 ," 45,873.27 "," 118,503.36 "," 27,653.16 "," 15,039.78 "," 12,888.13 "," 2,895.24 "," 158,204.18 "," 818,146.49 ",
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 22,395.53 "," 22,395.53 ",
2114 Depósitos restringidos e inactivos," 82,229.45 "," 70,908.47 "," 65,816.11 "," 38,224.44 ", 641.86 ," 11,713.63 "," 26,532.22 "," 20,169.85 "," 2,620.25 "," 8,606.37 "," 8,574.37 "," 3,273.92 "," 13,235.79 "," 352,546.74 ",
2115 Operaciones con pacto de retrocompra, -   , -   ," 1,200.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,200.00 ",
2116 Préstamos pactados hasta un año plazo, -   ," 1,304.16 "," 6,486.42 "," 15,061.59 "," 20,007.00 ", 16.16 ," 5,717.41 "," 36,760.36 "," 2,301.14 "," 47,044.45 "," 12,813.30 "," 3,318.34 "," 12,127.41 "," 162,957.73 ",
2117 Préstamos pactados a más de un año plazo," 303,771.97 "," 64,094.26 "," 57,369.80 "," 31,366.97 ", -   ," 4,471.01 "," 56,010.65 "," 254,572.23 ", -   ," 55,695.55 "," 64,461.18 "," 28,517.73 "," 57,913.26 "," 978,244.60 ",
2118 Préstamos pactados a cinco o mas años plazo," 7,336.18 "," 113,032.14 "," 44,759.65 "," 1,398.84 "," 1,089.10 "," 20,234.59 "," 48,672.74 ", -   ," 6,078.19 ", -   ," 86,623.96 "," 12,091.79 "," 36,600.55 "," 377,917.74 ",
2119 Préstamos subordinados," 69,776.53 ", -   , -   , -   , -   , -   ," 43,608.30 ", -   , -   , -   , -   , -   , -   ," 113,384.84 ",
212 Títulos de emisión propia," 48,470.06 "," 127,343.96 "," 145,477.99 "," 398,426.39 ", -   , -   ," 34,447.38 "," 119,794.29 "," 7,272.56 "," 46,730.83 "," 12,279.43 "," 8,040.98 "," 98,614.39 "," 1,046,898.28 ",
2120 Títulos de emisión propia," 48,470.06 "," 127,343.96 "," 145,477.99 "," 398,426.39 ", -   , -   ," 34,447.38 "," 119,794.29 "," 7,272.56 "," 46,730.83 "," 12,279.43 "," 8,040.98 "," 98,614.39 "," 1,046,898.28 ",
213 Obligaciones a la vista," 17,903.10 "," 18,326.51 "," 12,082.47 "," 29,913.77 ", 971.73 , 33.83 ," 6,220.88 "," 16,969.77 ", 168.41 ," 6,692.96 "," 4,497.34 "," 1,574.42 "," 1,587.67 "," 116,942.88 ",
2130 Obligaciones a la vista," 17,903.10 "," 18,326.51 "," 12,082.47 "," 29,913.77 ", 971.73 , 33.83 ," 6,220.88 "," 16,969.77 ", 168.41 ," 6,692.96 "," 4,497.34 "," 1,574.42 "," 1,587.67 "," 116,942.88 ",
22 Otros pasivos," 130,650.99 "," 86,165.26 "," 56,934.45 "," 11,909.81 "," 5,973.17 "," 35,238.40 "," 22,067.20 "," 51,823.37 "," 3,446.53 "," 12,340.74 "," 6,587.69 "," 6,948.28 "," 10,113.59 "," 440,199.49 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 66,806.65 "," 42,876.18 "," 25,193.32 "," 6,700.59 "," 2,724.08 "," 26,273.36 "," 13,096.60 "," 17,882.20 "," 1,454.61 "," 9,316.48 "," 4,070.49 "," 5,347.20 "," 5,111.47 "," 226,853.22 ",
2220 Cuentas por pagar," 42,012.77 "," 30,449.34 "," 20,548.54 "," 5,528.18 "," 1,769.95 "," 23,633.95 "," 9,039.99 "," 16,211.33 "," 1,153.61 "," 7,863.68 "," 3,201.39 "," 2,413.32 "," 5,020.67 "," 168,846.70 ",
2221 Impuestos," 24,793.88 "," 12,426.83 "," 4,644.78 "," 1,172.41 ", 954.13 ," 2,639.41 "," 4,056.61 "," 1,670.87 ", 301.00 ," 1,452.79 ", 869.10 ," 2,933.89 ", 90.80 ," 58,006.52 ",
223 Retenciones y aportaciones patronales," 9,066.92 "," 4,514.17 "," 2,173.24 ", 663.54 , 695.51 , 218.97 ," 1,659.88 "," 2,313.37 ", 334.71 , 443.32 , 421.48 , 131.06 , 884.76 ," 23,520.94 ",
2230 Retenciones y aportaciones patronales," 9,066.92 "," 4,514.17 "," 2,173.24 ", 663.54 , 695.51 , 218.97 ," 1,659.88 "," 2,313.37 ", 334.71 , 443.32 , 421.48 , 131.06 , 884.76 ," 23,520.94 ",
224 Otros pasivos," 43,704.78 "," 13,628.59 "," 12,519.58 "," 3,512.88 "," 2,494.10 "," 3,291.96 "," 5,300.60 "," 17,454.90 ", 922.15 , 917.05 , 866.99 ," 1,277.02 "," 4,117.36 "," 110,007.97 ",
2240 Provisiones," 43,704.78 "," 13,628.59 "," 12,519.58 "," 3,512.88 "," 2,494.10 "," 3,291.96 "," 5,300.60 "," 17,454.90 ", 922.15 , 917.05 , 866.99 ," 1,277.02 "," 4,117.36 "," 110,007.97 ",
