Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Enero de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,263,553.23","3,666,143.61","2,943,386.37","1,369,055.98","246,557.41","421,322.68","429,955.45","1,349,518.10","2,904,655.49","79,487.72","403,400.61","543,441.84","747,038.56","20,367,517.05"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"20,892.87","22,567.06","10,215.34","13,232.85",83.47,0.00,"6,537.13",0.00,"31,439.19",0.00,559.45,187.00,0.00,"105,714.36"
5120 Contingencias por avales y fianzas,"133,890.55","126,861.64","79,581.48","16,082.97","10,898.35","6,379.71","4,076.33","9,967.55","76,516.06",0.00,"13,829.65",0.00,"4,770.03","482,854.32"
5131 Compromisos por operaciones en moneda extranjera,0.00,0.00,0.00,0.00,386.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,386.35
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"154,783.42","149,428.70","89,796.81","29,315.82","11,368.17","6,379.71","10,613.46","9,967.55","107,955.25",0.00,"14,389.10",187.00,"4,770.03","588,955.03"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,418,336.65","3,815,572.31","3,033,183.18","1,398,371.80","257,925.58","427,702.39","440,568.92","1,359,485.65","3,012,610.75","79,487.72","417,789.71","543,628.84","751,808.59","20,956,472.08"
 ,,,,,,,,,,,,,,
"1/ A partir de noviembre 2020, Banco Cuscatlán de El Salvador, S.A.,  absorbió a Banco Cuscatlán Sv, S.A.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
