Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 30 de noviembre de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 130,637.46 "," 108,066.90 "," 62,085.67 "," 20,765.43 "," 2,013.20 "," 20,662.63 "," 30,166.76 "," 59,667.33 "," 8,953.59 "," 11,037.71 "," 25,466.49 "," 9,122.42 "," 25,091.06 "," 513,736.64 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,814.12 "," 7,957.74 ", 247.69 ," 9,129.93 "," 4,170.64 "," 23,841.95 ", -   , 730.09 , 400.00 ," 1,655.88 "," 3,533.10 "," 140,590.34 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,814.12 "," 7,957.74 ", 247.69 ," 9,129.93 "," 4,170.64 "," 23,841.95 ", -   , 730.09 , 400.00 ," 1,655.88 "," 3,533.10 "," 140,590.34 ",
132 Propiedades y equipo depreciables," 81,312.58 "," 36,297.50 "," 28,468.06 "," 11,846.46 "," 1,765.51 "," 9,926.49 "," 16,817.53 "," 34,538.19 "," 4,237.60 "," 9,523.39 "," 7,672.90 "," 6,501.18 "," 14,615.52 "," 263,522.93 ",
1320 Depreciables," 189,795.96 "," 134,809.50 "," 87,336.50 "," 33,438.42 "," 4,641.16 "," 37,419.21 "," 46,870.31 "," 100,924.19 "," 4,961.25 "," 16,726.81 "," 19,476.17 "," 13,718.50 "," 32,298.30 "," 722,416.27 ",
1329 Depreciación y deterioro acumulada(o) (-)," (108,483.37)"," (98,512.00)"," (58,868.43)"," (21,591.96)"," (2,875.65)"," (27,492.72)"," (30,052.78)"," (66,386.00)", (723.65)," (7,203.41)"," (11,803.27)"," (7,217.31)"," (17,682.78)"," (458,893.34)",
133 Intangibles," 20,103.01 "," 30,882.07 "," 14,803.48 ", 961.23 , -   ," 1,606.21 "," 9,178.59 "," 1,287.18 "," 4,716.00 ", 784.23 ," 17,393.59 ", 965.36 ," 6,942.44 "," 109,623.38 ",
1330 Intangibles," 44,756.09 "," 82,676.33 "," 40,090.86 "," 1,822.92 ", -   ," 5,051.13 "," 9,178.59 "," 4,613.87 "," 8,217.26 "," 4,008.03 "," 36,361.89 "," 9,809.82 "," 14,113.62 "," 260,700.41 ",
1339 Amortización y deterioro acumulada(o) (-)," (24,653.08)"," (51,794.27)"," (25,287.38)", (861.69), -   ," (3,444.92)", -   ," (3,326.69)"," (3,501.27)"," (3,223.80)"," (18,968.30)"," (8,844.46)"," (7,171.18)"," (151,077.03)",
Total Activos," 7,060,151.51 "," 4,750,017.44 "," 3,682,377.02 "," 2,426,847.74 "," 212,671.47 "," 570,925.65 "," 1,564,007.89 "," 4,013,823.75 "," 254,680.17 "," 1,046,207.53 "," 997,849.78 "," 314,686.85 "," 1,509,067.34 "," 28,403,314.13 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 28,376.24 "," 9,028.06 "," 14,452.84 ", 515.94 , -   , -   , -   ," 102,424.46 ", -   ," 1,135.81 "," 4,081.49 ", -   , -   ," 160,014.83 ",
4120 Avales y fianzas," 71,708.48 "," 78,571.25 "," 102,303.33 "," 12,580.67 "," 3,516.57 "," 5,732.38 "," 7,849.42 "," 52,846.68 ", -   ," 14,834.76 "," 3,936.38 ", -   ," 9,303.35 "," 363,183.27 ",
4129 Provisión por pérdidas," (16,008.03)"," (14,925.50)"," (4,261.54)"," (9,206.82)", -   ," (5,732.38)", -   , (39.99), -   , -   , -   , -   , -   ," (50,174.25)",
4130 Operaciones con instrumentos financieros derivados," 4,317.18 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,317.18 ",
4180 Otras, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 88,393.88 "," 72,673.80 "," 112,494.63 "," 3,889.78 "," 3,516.57 ", -   ," 7,849.42 "," 155,231.15 ", -   ," 15,970.57 "," 8,017.86 ", -   ," 9,303.35 "," 477,341.03 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 7,148,545.39 "," 4,822,691.24 "," 3,794,871.65 "," 2,430,737.53 "," 216,188.04 "," 570,925.65 "," 1,571,857.31 "," 4,169,054.90 "," 254,680.17 "," 1,062,178.10 "," 1,005,867.64 "," 314,686.85 "," 1,518,370.70 "," 28,880,655.16 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 6,240,736.54 "," 4,137,554.06 "," 3,234,426.97 "," 2,179,982.90 "," 165,939.94 "," 454,393.57 "," 1,417,017.56 "," 3,567,938.60 "," 213,875.89 "," 920,592.82 "," 881,633.97 "," 265,496.40 "," 1,349,277.60 "," 25,028,866.82 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 6,179,361.29 "," 3,989,496.27 "," 3,090,042.77 "," 1,745,869.83 "," 164,726.32 "," 453,911.82 "," 1,373,404.98 "," 3,440,820.40 "," 203,790.64 "," 881,537.82 "," 866,393.80 "," 255,939.53 "," 1,246,771.02 "," 23,892,066.47 ",
2110 Depósitos a la vista," 4,353,230.77 "," 2,504,095.69 "," 1,666,292.70 "," 775,774.18 "," 122,997.04 "," 297,806.64 "," 656,250.83 "," 2,106,626.55 "," 26,407.21 "," 305,094.33 "," 262,535.49 "," 80,736.09 "," 510,421.11 "," 13,668,268.63 ",
2111 Depósitos pactados hasta un año plazo," 1,206,533.23 "," 1,174,129.47 "," 1,136,913.44 "," 660,833.58 ", -   ," 120,040.13 "," 482,544.71 "," 924,771.05 "," 130,364.62 "," 448,238.74 "," 412,660.77 "," 123,644.44 "," 463,425.00 "," 7,284,099.17 ",
2112 Depósitos pactados a más de un año plazo," 149,691.38 "," 46,888.46 "," 46,572.91 "," 202,154.61 ", -   , 51.04 ," 43,103.20 "," 114,052.29 "," 29,357.41 "," 16,677.50 "," 18,994.09 "," 2,220.77 "," 144,690.85 "," 814,454.50 ",
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 25,401.56 "," 25,401.56 ",
2114 Depósitos restringidos e inactivos," 82,601.00 "," 77,275.64 "," 61,371.43 "," 56,592.41 ", 647.23 ," 11,586.81 "," 27,330.96 "," 22,580.02 "," 2,467.32 "," 12,867.92 "," 9,979.57 "," 3,885.62 "," 11,079.33 "," 380,265.28 ",
2115 Operaciones con pacto de retrocompra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,005.91 "," 8,005.91 ",
2116 Préstamos pactados hasta un año plazo, -   ," 16,956.10 "," 104,685.78 "," 20,871.59 "," 40,044.14 ", 16.16 ," 8,332.98 "," 16,462.71 "," 2,301.14 "," 32,524.74 "," 11,747.83 "," 1,910.71 ", -   ," 255,853.90 ",
2117 Préstamos pactados a más de un año plazo," 308,668.87 "," 131,893.01 "," 32,080.38 "," 28,213.63 ", -   ," 3,996.34 "," 68,554.90 "," 256,327.77 "," 6,948.09 "," 66,134.59 "," 62,793.93 "," 31,592.72 "," 47,904.95 "," 1,045,109.18 ",
2118 Préstamos pactados a cinco o mas años plazo," 7,727.52 "," 38,257.89 "," 42,126.11 "," 1,429.83 "," 1,037.91 "," 20,414.70 "," 43,830.87 ", -   ," 5,944.86 ", -   ," 87,682.11 "," 11,949.18 "," 35,842.32 "," 296,243.30 ",
2119 Préstamos subordinados," 70,908.51 ", -   , -   , -   , -   , -   ," 43,456.53 ", -   , -   , -   , -   , -   , -   ," 114,365.04 ",
212 Títulos de emisión propia," 42,058.24 "," 126,341.10 "," 133,033.98 "," 398,770.85 ", -   , -   ," 38,110.79 "," 111,891.91 "," 9,529.13 "," 33,748.64 "," 12,437.16 "," 8,031.28 "," 100,818.58 "," 1,014,771.66 ",
2120 Títulos de emisión propia," 42,058.24 "," 126,341.10 "," 133,033.98 "," 398,770.85 ", -   , -   ," 38,110.79 "," 111,891.91 "," 9,529.13 "," 33,748.64 "," 12,437.16 "," 8,031.28 "," 100,818.58 "," 1,014,771.66 ",
213 Obligaciones a la vista," 19,317.01 "," 21,716.69 "," 11,350.22 "," 35,342.22 "," 1,213.62 ", 481.75 ," 5,501.79 "," 15,226.29 ", 556.12 ," 5,306.36 "," 2,803.02 "," 1,525.59 "," 1,688.00 "," 122,028.69 ",
2130 Obligaciones a la vista," 19,317.01 "," 21,716.69 "," 11,350.22 "," 35,342.22 "," 1,213.62 ", 481.75 ," 5,501.79 "," 15,226.29 ", 556.12 ," 5,306.36 "," 2,803.02 "," 1,525.59 "," 1,688.00 "," 122,028.69 ",
22 Otros pasivos," 134,418.21 "," 103,757.03 "," 56,276.70 "," 11,335.82 "," 6,767.19 "," 33,147.05 "," 26,298.36 "," 49,586.23 "," 3,538.49 "," 14,821.64 "," 9,331.55 "," 7,364.63 "," 13,911.06 "," 470,553.96 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 69,754.25 "," 59,364.09 "," 25,654.98 "," 6,703.41 "," 3,794.63 "," 24,371.31 "," 16,863.57 "," 17,451.60 "," 1,522.35 "," 11,691.77 "," 6,556.81 "," 5,612.84 "," 6,893.17 "," 256,234.79 ",
2220 Cuentas por pagar," 40,638.91 "," 44,284.94 "," 19,383.39 "," 5,804.18 "," 2,576.66 "," 21,221.00 "," 12,080.41 "," 15,067.83 "," 1,066.85 "," 9,967.63 "," 5,087.71 "," 2,171.43 "," 6,799.45 "," 186,150.40 ",
2221 Impuestos," 29,115.34 "," 15,079.15 "," 6,271.59 ", 899.22 ," 1,217.97 "," 3,150.32 "," 4,783.16 "," 2,383.77 ", 455.50 ," 1,724.14 "," 1,469.10 "," 3,441.41 ", 93.72 ," 70,084.39 ",
223 Retenciones y aportaciones patronales," 2,858.75 "," 4,111.97 "," 2,124.39 ", 558.16 , 246.61 , 224.38 ," 1,750.69 "," 2,118.76 ", 163.08 , 396.79 , 456.96 , 144.53 , 864.54 ," 16,019.60 ",
2230 Retenciones y aportaciones patronales," 2,858.75 "," 4,111.97 "," 2,124.39 ", 558.16 , 246.61 , 224.38 ," 1,750.69 "," 2,118.76 ", 163.08 , 396.79 , 456.96 , 144.53 , 864.54 ," 16,019.60 ",
224 Otros pasivos," 49,052.63 "," 15,389.89 "," 13,774.61 "," 3,081.89 "," 2,677.59 "," 2,827.54 "," 6,029.18 "," 16,940.71 "," 1,087.47 "," 1,137.91 "," 1,015.88 "," 1,413.95 "," 6,153.36 "," 120,582.60 ",
2240 Provisiones," 49,052.63 "," 15,389.89 "," 13,774.61 "," 3,081.89 "," 2,677.59 "," 2,827.54 "," 6,029.18 "," 16,940.71 "," 1,087.47 "," 1,137.91 "," 1,015.88 "," 1,413.95 "," 6,153.36 "," 120,582.60 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 12,752.58 "," 24,891.07 "," 14,722.73 ", 992.36 , 48.35 ," 5,723.82 "," 1,654.92 "," 13,075.17 ", 765.59 ," 1,595.17 "," 1,301.90 ", 193.31 , -   ," 77,716.97 ",
2250 Pasivos diferidos," 12,752.58 "," 24,891.07 "," 14,722.73 ", 992.36 , 48.35 ," 5,723.82 "," 1,654.92 "," 13,075.17 ", 765.59 ," 1,595.17 "," 1,301.90 ", 193.31 , -   ," 77,716.97 ",
Total Pasivos," 6,375,154.75 "," 4,241,311.08 "," 3,290,703.67 "," 2,191,318.72 "," 172,707.13 "," 487,540.62 "," 1,443,315.92 "," 3,617,524.82 "," 217,414.38 "," 935,414.46 "," 890,965.53 "," 272,861.03 "," 1,363,188.66 "," 25,499,420.77 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 594,060.43 "," 434,109.91 "," 357,795.53 "," 186,618.59 "," 35,610.64 "," 64,142.30 "," 106,005.05 "," 364,967.14 "," 34,426.94 "," 106,578.78 "," 96,369.97 "," 38,123.87 "," 133,396.14 "," 2,552,205.30 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 123,703.50 "," 1,416,255.34 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 145,387.69 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 123,703.50 "," 1,416,255.34 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 21,315.92 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 535,883.04 ",
3140 Resultados por aplicar," 137,098.93 "," 139,220.26 "," 35,646.23 "," 19,914.98 "," 8,110.64 "," 17,467.24 "," 11,604.53 "," 163,716.60 "," 6,536.33 "," 32,251.95 "," 10,317.62 "," 11,823.75 "," 6,357.88 "," 600,066.93 ",
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 74,928.31 "," 59,670.94 "," 29,616.27 "," 39,703.61 "," 4,353.69 "," 13,510.36 "," 14,686.92 "," 31,291.79 "," 2,838.85 "," 4,214.29 "," 10,514.28 "," 3,701.95 "," 12,482.54 "," 301,513.80 ",
3210 Utilidades no distribuibles," 73,832.63 "," 46,083.70 "," 25,542.78 "," 35,148.32 "," 4,306.80 "," 2,679.10 "," 15,762.15 "," 32,802.31 "," 2,800.58 "," 4,342.52 "," 10,271.59 "," 3,870.43 "," 12,449.84 "," 269,892.76 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 4,073.49 "," 4,555.28 ", 46.89 ," 10,831.26 "," (1,075.23)"," (1,510.52)", 38.27 , (128.22), 242.69 , (168.48), -   ," 31,588.34 ",
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 4,073.49 "," 4,555.28 ", 46.89 ," 10,831.26 "," (1,075.23)"," (1,764.17)", 38.27 , (119.45), 242.69 , (168.48), -   ," 31,343.46 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 253.66 , -   , (8.77), -   , -   , -   , 244.89 ,
,,,,,,,,,,,,,,,
