Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de Enero de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
2130 Obligaciones a la vista,"19,929.2","19,224.2","11,421.4","30,662.6","2,356.6",103.8,"6,149.4","17,440.0",693.7,"2,374.4","2,589.3","10,847.2","123,791.9",,
22 Otros pasivos,"93,131.0","90,695.9","51,148.6","10,704.5","4,515.0","30,745.5","22,526.4","36,646.0","2,662.0","28,769.6","11,096.1","5,046.2","387,686.6",,
221 Saldos entre compañias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2210 Saldos entre compañias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
222 Cuentas por pagar,"47,590.8","44,745.0","29,348.5","5,473.0","2,119.4","22,112.9","14,825.2","13,372.4","1,032.9","27,112.4","9,311.4","1,800.1","218,844.0",,
2220 Cuentas por pagar,"32,176.8","25,928.5","23,822.7","4,734.9",817.9,"19,148.5","11,804.5","12,699.4","1,012.5","24,827.1","6,906.3","1,169.6","165,048.8",,
2221 Impuestos,"15,413.9","18,816.5","5,525.7",738.1,"1,301.4","2,964.4","3,020.7",673.0,20.5,"2,285.2","2,405.2",630.5,"53,795.2",,
223 Retenciones y aportaciones patronales,"2,213.6","3,641.7","1,521.0",768.4,313.0,273.0,"1,352.6","1,699.9",234.4,282.0,558.7,669.1,"13,527.5",,
2230 Retenciones y aportaciones patronales,"2,213.6","3,641.7","1,521.0",768.4,313.0,273.0,"1,352.6","1,699.9",234.4,282.0,558.7,669.1,"13,527.5",,
224 Otros pasivos,"34,823.6","11,270.8","5,280.7","3,581.5","2,021.8","2,865.5","3,636.9","11,742.1",881.3,425.3,189.7,"2,543.7","79,262.9",,
