Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 30 de noviembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
2111 Depósitos pactados hasta un año plazo," 920,603.39 "," 1,030,200.58 "," 995,819.73 "," 620,448.45 "," 6,022.46 "," 107,636.69 "," 449,071.03 "," 874,094.71 "," 90,182.59 "," 277,550.17 "," 342,842.01 "," 83,488.48 "," 331,759.91 "," 6,129,720.19 ",,
2112 Depósitos pactados a más de un año plazo," 107,553.37 "," 35,048.73 "," 80,002.52 "," 199,156.43 ", -   , 27.04 ," 42,404.88 "," 92,392.37 "," 22,616.32 "," 7,734.83 "," 18,273.42 "," 4,073.93 "," 170,249.25 "," 779,533.09 ",,
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 25,705.61 "," 25,705.61 ",,
2114 Depósitos restringidos e inactivos," 79,787.43 "," 69,192.01 "," 58,271.56 "," 34,233.21 ", 305.42 ," 10,057.82 "," 28,657.51 "," 17,658.51 "," 3,167.91 "," 4,084.45 "," 9,754.19 "," 3,617.04 "," 11,603.35 "," 330,390.41 ",,
2115 Operaciones con pacto de retrocompra, -   , -   ," 1,600.00 ", -   , -   , -   , -   , -   , -   , -   ," 6,000.00 ", -   , -   ," 7,600.00 ",,
2116 Préstamos pactados hasta un año plazo," 20,620.01 "," 42,132.04 "," 51,705.49 "," 15,070.83 "," 25,022.45 ", 16.16 ," 28,794.66 "," 136,837.21 "," 4,941.03 "," 23,627.74 "," 8,236.70 "," 12,193.58 "," 25,366.15 "," 394,564.05 ",,
2117 Préstamos pactados a más de un año plazo," 74,108.09 "," 24,110.57 "," 57,070.49 "," 42,186.00 ", -   ," 2,930.82 "," 31,425.08 "," 151,984.49 ", -   ," 27,480.13 "," 40,035.32 "," 40,408.51 "," 76,960.56 "," 568,700.04 ",,
2118 Préstamos pactados a cinco o mas años plazo," 243,764.59 "," 158,723.22 "," 69,389.97 "," 3,519.60 "," 1,338.04 "," 20,472.93 "," 49,302.12 ", -   ," 4,108.84 "," 19,863.83 "," 104,389.82 "," 14,053.46 "," 49,886.71 "," 738,813.12 ",,
2119 Préstamos subordinados," 70,896.19 ", -   , -   , -   , -   , -   ," 45,540.73 ", -   , -   , -   , -   , -   , -   ," 116,436.91 ",,
212 Títulos de emisión propia," 117,245.74 "," 163,457.39 "," 194,372.02 "," 398,628.69 ", -   , -   ," 44,369.28 "," 146,343.75 "," 8,595.11 "," 54,986.39 "," 21,186.43 "," 13,548.94 "," 186,951.09 "," 1,349,684.82 ",,
2120 Títulos de emisión propia," 117,245.74 "," 163,457.39 "," 194,372.02 "," 398,628.69 ", -   , -   ," 44,369.28 "," 146,343.75 "," 8,595.11 "," 54,986.39 "," 21,186.43 "," 13,548.94 "," 186,951.09 "," 1,349,684.82 ",,
213 Obligaciones a la vista," 18,559.22 "," 18,254.60 "," 18,524.00 "," 31,333.73 "," 2,211.95 ", 75.26 ," 5,181.00 "," 20,957.42 "," 2,401.23 "," 4,322.78 "," 4,933.38 "," 1,694.32 "," 1,011.17 "," 129,460.07 ",,
2130 Obligaciones a la vista," 18,559.22 "," 18,254.60 "," 18,524.00 "," 31,333.73 "," 2,211.95 ", 75.26 ," 5,181.00 "," 20,957.42 "," 2,401.23 "," 4,322.78 "," 4,933.38 "," 1,694.32 "," 1,011.17 "," 129,460.07 ",,
22 Otros pasivos," 118,285.10 "," 84,661.08 "," 51,392.42 "," 11,348.42 "," 5,654.45 "," 32,029.46 "," 20,513.01 "," 55,687.88 "," 2,570.26 "," 14,048.10 "," 4,741.39 "," 6,402.08 "," 7,949.53 "," 415,283.18 ",,
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
222 Cuentas por pagar," 63,653.59 "," 37,832.92 "," 24,953.86 "," 5,932.23 "," 2,985.00 "," 22,969.33 "," 11,281.90 "," 23,647.40 ", 988.77 ," 11,744.74 "," 2,356.48 "," 4,981.36 "," 3,133.51 "," 216,461.09 ",,
2220 Cuentas por pagar," 35,823.62 "," 26,168.20 "," 20,116.87 "," 5,785.00 "," 1,102.77 "," 20,372.25 "," 8,487.51 "," 21,717.72 ", 968.29 ," 10,178.29 "," 1,882.88 "," 2,315.55 "," 2,749.26 "," 157,668.21 ",,
2221 Impuestos," 27,829.97 "," 11,664.73 "," 4,836.99 ", 147.23 ," 1,882.23 "," 2,597.08 "," 2,794.39 "," 1,929.67 ", 20.47 ," 1,566.46 ", 473.59 ," 2,665.81 ", 384.26 ," 58,792.88 ",,
223 Retenciones y aportaciones patronales," 2,507.87 "," 3,982.20 "," 1,803.34 ", 554.01 , 170.14 , 208.65 ," 1,626.05 "," 2,151.18 ", 279.14 , 344.11 , 495.31 , 117.71 , 703.68 ," 14,943.41 ",,
2230 Retenciones y aportaciones patronales," 2,507.87 "," 3,982.20 "," 1,803.34 ", 554.01 , 170.14 , 208.65 ," 1,626.05 "," 2,151.18 ", 279.14 , 344.11 , 495.31 , 117.71 , 703.68 ," 14,943.41 ",,
224 Otros pasivos," 42,447.72 "," 14,437.06 "," 10,239.30 "," 3,639.58 "," 2,471.60 "," 3,221.75 "," 5,323.70 "," 17,401.81 ", 729.14 , 948.12 , 720.65 ," 1,081.82 "," 4,084.72 "," 106,746.99 ",,
2240 Provisiones," 42,447.72 "," 14,437.06 "," 10,239.30 "," 3,639.58 "," 2,471.60 "," 3,221.75 "," 5,323.70 "," 17,401.81 ", 729.14 , 948.12 , 720.65 ," 1,081.82 "," 4,084.72 "," 106,746.99 ",,
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
225 Pasivos diferidos," 9,675.92 "," 28,408.89 "," 14,395.92 "," 1,222.60 ", 27.71 ," 5,629.73 "," 2,281.36 "," 12,487.49 ", 573.22 ," 1,011.12 "," 1,168.95 ", 221.18 , 27.62 ," 77,131.69 ",,
2250 Pasivos diferidos," 9,675.92 "," 28,408.89 "," 14,395.92 "," 1,222.60 ", 27.71 ," 5,629.73 "," 2,281.36 "," 12,487.49 ", 573.22 ," 1,011.12 "," 1,168.95 ", 221.18 , 27.62 ," 77,131.69 ",,
Total Pasivos," 5,279,120.68 "," 3,741,237.03 "," 2,996,467.24 "," 2,032,131.03 "," 182,371.40 "," 421,593.59 "," 1,314,774.81 "," 3,297,680.53 "," 154,754.39 "," 653,297.55 "," 804,997.40 "," 221,228.91 "," 1,202,503.15 "," 22,302,157.71 ",,
,,,,,,,,,,,,,,,,
Patrimonio,,,,,,,,,,,,,,,,
31 Patrimonio," 588,920.96 "," 408,768.19 "," 341,808.99 "," 171,024.08 "," 36,604.80 "," 56,063.43 "," 102,738.77 "," 335,920.00 "," 32,746.00 "," 98,215.38 "," 93,722.34 "," 35,442.06 "," 119,857.26 "," 2,421,832.24 ",,
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3130 Reservas de capital," 166,896.59 "," 90,187.82 "," 162,149.31 "," 28,159.39 "," 4,719.52 "," 5,084.29 "," 17,697.22 "," 40,250.11 "," 3,942.14 "," 3,414.23 "," 5,115.45 "," 3,750.00 "," 2,932.56 "," 534,298.63 ",,
3140 Resultados por aplicar," 124,524.37 "," 113,878.54 "," 29,659.68 "," 21,461.47 "," 9,885.27 "," 22,667.46 "," 9,252.68 "," 134,669.46 "," 5,160.16 "," 24,801.15 "," 8,606.88 "," 9,692.06 "," 3,221.19 "," 517,480.37 ",,
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
32 Patrimonio restringido," 57,120.18 "," 57,066.18 "," 28,522.27 "," 40,349.16 "," 6,640.21 "," 14,111.98 "," 16,437.43 "," 24,037.76 "," 3,225.50 "," 4,029.71 "," 9,141.76 "," 3,792.68 "," 9,793.62 "," 274,268.45 ",,
3210 Utilidades no distribuibles," 55,856.99 "," 43,584.31 "," 24,400.98 "," 35,386.86 "," 6,574.22 "," 3,280.72 "," 17,218.61 "," 25,838.40 "," 3,187.59 "," 4,149.16 "," 9,141.76 "," 3,907.71 "," 9,760.92 "," 242,288.24 ",,
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,,
323 Otro resultado integral," 1,263.19 "," 13,481.86 "," 4,121.29 "," 4,962.30 ", 65.99 ," 10,831.26 ",-781.17 ,"-1,800.63 ", 37.91 ,-119.45 , -   ,-115.03 , -   ," 31,947.51 ",,
3230 Otro resultado integral de ejercicios anteriores," 1,263.19 "," 13,481.86 "," 4,121.29 "," 4,962.30 ", 65.99 ," 10,831.26 ",-781.17 ,"-2,151.89 ", 37.91 , -   , -   ,-115.03 , -   ," 31,715.71 ",,
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 351.25 , -   ,-119.45 , -   , -   , -   , 231.80 ,,
,,,,,,,,,,,,,,,,
