Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 30 de septiembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
211 Pasivos financieros a costo amortizado," 4,955,347.43 "," 3,390,447.48 "," 2,626,704.71 "," 1,608,525.32 "," 176,246.64 "," 386,064.29 "," 1,210,050.15 "," 2,976,067.44 "," 142,002.22 "," 554,330.69 "," 749,167.51 "," 207,501.86 "," 966,643.87 "," 19,949,099.61 ",,
2110 Depósitos a la vista," 3,401,497.11 "," 2,062,338.76 "," 1,344,653.42 "," 690,567.41 "," 143,036.97 "," 246,492.68 "," 553,831.87 "," 1,720,142.08 "," 15,718.20 "," 207,685.62 "," 241,203.56 "," 40,171.70 "," 289,396.56 "," 10,956,735.96 ",,
2111 Depósitos pactados hasta un año plazo," 903,244.37 "," 991,417.02 "," 964,289.95 "," 627,046.43 ", -   ," 106,542.35 "," 428,914.22 "," 877,859.20 "," 89,008.86 "," 269,163.57 "," 364,322.89 "," 85,034.42 "," 326,905.17 "," 6,033,748.46 ",,
2112 Depósitos pactados a más de un año plazo," 104,861.58 "," 36,012.12 "," 91,871.40 "," 196,508.78 ", -   , 22.75 ," 38,467.98 "," 92,576.95 "," 21,798.44 "," 7,776.51 "," 19,720.15 "," 4,139.82 "," 169,903.41 "," 783,659.89 ",,
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 22,592.74 "," 22,592.74 ",,
2114 Depósitos restringidos e inactivos," 81,666.03 "," 63,456.11 "," 63,974.18 "," 29,417.82 "," 1,795.77 "," 9,666.67 "," 27,282.40 "," 18,709.96 "," 2,993.74 "," 3,834.64 "," 7,571.91 "," 3,364.18 "," 10,300.36 "," 324,033.77 ",,
2115 Operaciones con pacto de retrocompra, 0.13 , -   ," 2,140.67 ", -   , -   , -   , -   ," 3,006.84 "," 3,000.00 ", -   ," 3,140.00 ", -   ," 11,540.70 "," 22,828.35 ",,
2116 Préstamos pactados hasta un año plazo," 80,986.62 "," 47,092.16 "," 82,963.96 "," 15,148.70 "," 30,027.44 ", 16.16 ," 28,088.64 "," 123,051.46 "," 5,425.60 "," 35,222.48 "," 8,847.82 "," 18,026.50 "," 17,261.79 "," 492,159.35 ",,
2117 Préstamos pactados a más de un año plazo," 73,888.45 "," 27,044.10 "," 5,052.68 "," 45,554.62 ", -   ," 3,054.12 "," 33,388.79 "," 140,720.95 ", -   ," 30,647.87 "," 40,514.73 "," 41,698.35 "," 68,294.36 "," 509,859.00 ",,
2118 Préstamos pactados a cinco o mas años plazo," 239,515.69 "," 163,087.20 "," 71,758.45 "," 4,281.56 "," 1,386.46 "," 20,269.56 "," 54,425.75 ", -   ," 4,057.37 ", -   ," 63,846.46 "," 15,066.89 "," 50,448.77 "," 688,144.14 ",,
2119 Préstamos subordinados," 69,687.44 ", -   , -   , -   , -   , -   ," 45,650.49 ", -   , -   , -   , -   , -   , -   ," 115,337.94 ",,
212 Títulos de emisión propia," 167,719.26 "," 163,457.39 "," 218,742.36 "," 398,293.56 ", -   , -   ," 42,653.17 "," 157,476.57 "," 9,034.92 "," 56,299.06 "," 20,902.53 "," 7,513.81 "," 187,870.46 "," 1,429,963.08 ",,
2120 Títulos de emisión propia," 167,719.26 "," 163,457.39 "," 218,742.36 "," 398,293.56 ", -   , -   ," 42,653.17 "," 157,476.57 "," 9,034.92 "," 56,299.06 "," 20,902.53 "," 7,513.81 "," 187,870.46 "," 1,429,963.08 ",,
213 Obligaciones a la vista," 16,724.53 "," 19,964.98 "," 24,516.01 "," 30,601.57 "," 1,136.31 ", 117.70 ," 4,997.68 "," 18,951.64 ", 126.77 ," 5,115.15 "," 2,256.86 ", 975.08 ," 4,136.66 "," 129,620.95 ",,
2130 Obligaciones a la vista," 16,724.53 "," 19,964.98 "," 24,516.01 "," 30,601.57 "," 1,136.31 ", 117.70 ," 4,997.68 "," 18,951.64 ", 126.77 ," 5,115.15 "," 2,256.86 ", 975.08 ," 4,136.66 "," 129,620.95 ",,
22 Otros pasivos," 123,451.30 "," 82,743.44 "," 52,782.68 "," 10,484.19 "," 5,334.35 "," 30,739.83 "," 17,882.27 "," 63,151.88 "," 2,377.24 "," 16,093.78 "," 9,282.43 "," 5,912.68 "," 8,043.21 "," 428,279.28 ",,
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
222 Cuentas por pagar," 73,754.37 "," 37,011.09 "," 26,796.94 "," 5,095.02 "," 2,616.47 "," 22,119.85 "," 9,211.95 "," 31,262.79 "," 1,063.67 "," 14,036.47 "," 6,972.09 "," 4,602.39 "," 3,399.90 "," 237,942.98 ",,
2220 Cuentas por pagar," 49,878.52 "," 26,346.50 "," 22,412.53 "," 5,095.02 ", 923.27 ," 19,914.85 "," 6,749.65 "," 27,408.96 "," 1,043.19 "," 12,546.27 "," 6,474.80 "," 2,242.83 "," 3,124.74 "," 184,161.13 ",,
2221 Impuestos," 23,875.85 "," 10,664.59 "," 4,384.40 ", -   ," 1,693.20 "," 2,205.00 "," 2,462.29 "," 3,853.84 ", 20.47 ," 1,490.20 ", 497.29 ," 2,359.56 ", 275.16 ," 53,781.86 ",,
