Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
22 Otros pasivos,"117,264.17","91,466.61","52,859.48","13,918.26","4,360.55","31,868.17","21,404.41","49,590.11","3,052.75","35,587.94","6,657.68","9,530.30","437,560.44"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"61,772.47","45,584.51","30,342.49","7,619.49","1,711.03","22,581.57","13,481.94","27,695.09","1,038.63","34,201.28","4,680.66","6,248.63","256,957.80"
2230 Retenciones,"3,942.68","3,385.07","1,562.31",598.43,123.53,234.72,"1,182.20","1,719.66",249.57,223.08,397.30,578.55,"14,197.10"
2240 Provisiones,"32,191.26","11,222.87","6,174.42","4,692.60","2,473.61","3,213.75","4,008.47","10,701.65","1,323.62",373.32,510.42,"2,650.70","79,536.68"
224003 Otras provisiones,"11,618.38",150.08,0.00,736.60,276.45,0.32,"1,712.98","4,946.26",358.73,40.52,0.00,980.31,"20,820.62"
2250 Créditos diferidos,"19,357.76","31,274.17","14,780.25","1,007.74",52.38,"5,838.13","2,731.80","9,473.72",440.93,790.26,"1,069.30",52.42,"86,868.87"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"70,327.39",0.00,0.00,0.00,0.00,0.00,"30,262.28",0.00,0.00,0.00,0.00,0.00,"100,589.67"
