Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2021,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837.56,837.56
2142 Pactados a mas de un año plazo,"212,120.47","122,827.34","134,231.08",0.00,0.00,0.00,"25,353.42",0.00,0.00,"135,764.38",0.00,0.00,"56,619.32","79,010.05","765,926.06"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,600.00",0.00,0.00,"5,000.00","6,600.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,600.00",0.00,0.00,"5,000.00","6,600.00"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"66,396.30","63,333.24","46,302.72","11,104.47","2,997.22","30,619.67","7,376.17","20,237.42",0.00,"40,590.21","2,763.95","42,222.05","8,203.45","14,256.62","356,403.50"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"27,615.95","41,189.53","24,809.76","4,944.09",773.26,"21,738.62","6,645.13","11,483.20",0.00,"23,845.90","1,463.37","41,230.48","7,291.33","11,326.24","224,356.86"
2230 Retenciones,"1,565.38","2,432.48","1,266.52",361.90,249.56,186.57,118.30,"1,137.01",0.00,"1,561.35",268.88,124.21,265.60,328.39,"9,866.15"
2240 Provisiones,"24,256.34","14,297.16","6,407.69","4,406.77","1,703.53","3,729.01",542.38,"3,564.78",0.00,"8,706.53","1,031.70",372.08,414.00,"2,296.17","71,728.16"
224003 Otras provisiones,"7,131.78",821.86,0.00,515.76,137.22,14.26,0.00,"1,283.46",0.00,"3,020.07",504.18,34.27,0.00,"1,130.30","14,593.15"
2250 Créditos diferidos,"12,958.62","5,414.07","13,818.75","1,391.71",270.88,"4,965.48",70.37,"4,052.43",0.00,"6,476.42",0.00,495.28,232.51,305.82,"50,452.33"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,217.73",0.00,0.00,0.00,0.00,0.00,0.00,"30,217.73"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,217.73",0.00,0.00,0.00,0.00,0.00,0.00,"30,217.73"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,217.73",0.00,0.00,0.00,0.00,0.00,0.00,"30,217.73"
Total pasivos,"4,834,106.51","3,116,873.04","2,565,857.19","1,367,266.65","208,770.01","404,841.82","362,307.94","1,213,308.88",0.00,"2,642,412.83","60,464.06","368,294.54","502,237.64","745,301.32","18,392,042.43"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"515,050.79","355,926.20","273,865.35","108,899.52","40,068.73","35,916.07","56,442.88","92,199.97",0.00,"252,098.47","24,118.05","35,904.27","54,573.16","62,943.64","1,908,007.09"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","31,467.77","51,598.94","70,788.87",0.00,"161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,265,825.83"
3130 Reservas de capital,"178,150.72","90,187.82","109,621.29","28,791.35","3,724.30","2,736.48","3,752.14","15,309.09",0.00,"40,250.11","3,032.91","1,227.76",117.31,946.82,"477,848.10"
3140 Resultados por aplicar,"39,400.07","61,036.54","14,244.05","6,673.87","6,344.43","1,711.83","1,091.80","6,102.01",0.00,"50,847.92",751.46,"4,676.51","-25,544.14","-3,003.19","164,333.16"
314001 Resultados de ejercicios anteriores,-525.13,"49,419.48","3,393.35",25.00,"4,417.59",0.00,73.02,"3,187.64",0.00,"37,842.54",0.00,"2,856.29","-26,663.20","-4,425.35","69,601.22"
314002 Resultados del presente ejercicio,"39,925.20","11,617.07","10,850.71","6,648.87","1,926.84","1,711.83","1,018.78","2,914.36",0.00,"13,005.38",751.46,"1,820.22","1,119.06","1,422.16","94,731.94"
32 Patrimonio restringido,"109,163.25","71,585.19","42,700.60","35,384.73","4,502.37","12,981.45","3,036.13","32,931.79",0.00,"41,027.31","2,221.66","4,446.38","1,117.55","15,115.94","376,214.33"
3210 Utilidades no distribuibles,"49,614.21","52,758.20","24,887.73","21,881.24","4,463.49",0.00,"2,410.80","26,034.39",0.00,"27,863.74","2,211.09","4,350.27",906.64,"6,036.64","223,418.44"
3220 Revaluaciones,"9,850.58","14,158.79","4,347.13","4,962.30",0.00,"10,141.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,230.16","45,690.88"
3230 Recuperaciones de activos castigados,0.00,113.36,"1,130.75","2,446.22",0.00,0.00,39.97,572.29,0.00,"1,273.65",0.00,0.00,0.00,41.02,"5,617.27"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"49,698.45","4,554.84","12,334.99","6,094.97",38.88,"2,839.53",585.36,"6,325.11",0.00,"11,889.91",10.57,96.11,210.91,"6,775.43","101,455.05"
Total patrimonio,"624,214.03","427,511.39","316,565.95","144,284.24","44,571.10","48,897.52","59,479.02","125,131.76",0.00,"293,125.77","26,339.70","40,350.64","55,690.71","78,059.58","2,284,221.42"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,458,320.54","3,544,384.43","2,882,423.14","1,511,550.90","253,341.11","453,739.34","421,786.96","1,338,440.64",0.00,"2,935,538.60","86,803.76","408,645.18","557,928.35","823,360.90","20,676,263.85"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"24,873.05","20,886.22","19,196.98","9,898.12",735.00,0.00,"2,742.20",0.00,0.00,"20,482.85",0.00,764.47,17.92,0.00,"99,596.82"
5120 Contingencias por avales y fianzas,"128,870.32","138,307.11","87,676.26","15,240.38","7,874.70","6,372.55","4,587.40","9,692.46",0.00,"98,027.40",0.00,"12,528.74",0.00,"4,275.72","513,453.04"
5131 Compromisos por operaciones en moneda extranjera,"3,714.70",426.69,0.00,0.00,"1,761.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,902.82"
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"157,458.07","159,620.02","106,873.24","25,138.50","10,371.13","6,372.55","7,329.60","9,692.46",0.00,"118,510.24",0.00,"13,293.21",17.92,"4,275.72","618,952.68"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,615,778.61","3,704,004.45","2,989,296.37","1,536,689.40","263,712.24","460,111.89","429,116.56","1,348,133.10",0.00,"3,054,048.84","86,803.76","421,938.39","557,946.28","827,636.63","21,295,216.53"
 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
