Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 29 de Febrero de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,439.90","1,439.90"
2142 Pactados a mas de un año plazo,"212,068.04","60,095.25","200,742.89",0.00,0.00,0.00,"34,453.44",0.00,"130,605.46","191,135.06",0.00,0.00,"62,563.89","71,540.09","963,204.11"
215 Documentos transados,0.00,0.00,235.00,400.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,000.00",0.00,"5,635.16"
2151 Documentos transados hasta un año plazo,0.00,0.00,235.00,400.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,000.00",0.00,"5,635.16"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.09,0.00,0.00,0.00,26.09
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.09,0.00,0.00,0.00,26.09
22 Otros pasivos,"194,591.33","39,452.35","48,050.96","12,713.69","3,741.41","28,993.71","9,190.62","21,383.42","44,715.00","39,417.92","5,022.31","16,652.47","1,635.39","3,224.64","468,785.22"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"151,943.01","28,971.70","29,770.65","8,269.42","1,651.13","19,471.24","8,566.39","11,517.49","32,416.31","26,395.18","3,196.28","15,479.22",670.42,"1,388.37","339,706.81"
2230 Retenciones,"1,668.51","1,641.92","1,141.40",366.03,222.87,168.06,122.28,"1,115.79",760.32,"1,023.81",459.40,129.11,226.95,264.43,"9,310.88"
2240 Provisiones,"29,854.26","5,488.38","4,834.20","3,450.16","1,668.64","3,703.41",390.61,"2,801.19","9,122.81","5,499.21","1,366.63",221.79,549.73,"1,496.50","70,447.52"
224003 Otras provisiones,"7,018.18",5.53,0.00,462.31,213.81,6.39,0.00,"1,392.03","3,833.08","1,035.92",292.65,44.51,0.00,622.15,"14,926.57"
2250 Créditos diferidos,"11,125.55","3,350.35","12,304.70",628.07,198.77,"5,651.01",111.34,"5,948.94","2,415.57","6,499.71",0.00,822.35,188.30,75.34,"49,320.01"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
