Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de julio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,461,064.43 "," 3,860,034.11 "," 2,900,383.64 "," 1,750,221.69 "," 163,061.32 "," 426,100.28 "," 1,299,913.50 "," 3,290,079.95 "," 181,372.37 "," 745,275.52 "," 832,884.88 "," 236,456.27 "," 1,146,242.77 "," 22,293,090.72 ",
2110 Depósitos a la vista," 3,898,429.16 "," 2,426,922.32 "," 1,537,596.10 "," 744,475.08 "," 151,170.87 "," 274,501.98 "," 615,252.67 "," 1,892,461.83 "," 25,022.58 "," 285,100.67 "," 248,002.94 "," 63,662.52 "," 357,710.32 "," 12,520,309.06 ",
2111 Depósitos pactados hasta un año plazo," 1,097,085.44 "," 1,132,197.01 "," 1,107,910.46 "," 715,155.22 ", -   ," 114,879.92 "," 444,685.76 "," 945,762.97 "," 120,083.22 "," 372,733.98 "," 398,512.97 "," 114,977.02 "," 431,472.77 "," 6,995,456.75 ",
2112 Depósitos pactados a más de un año plazo," 130,748.64 "," 41,304.23 "," 55,034.88 "," 203,649.80 ", -   , 45.77 ," 46,100.29 "," 118,001.39 "," 25,564.07 "," 3,984.41 "," 13,505.01 "," 3,152.07 "," 165,704.91 "," 806,795.47 ",
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 22,018.89 "," 22,018.89 ",
2114 Depósitos restringidos e inactivos," 80,300.36 "," 69,760.67 "," 56,776.60 "," 36,650.76 ", 745.76 ," 11,638.86 "," 26,279.47 "," 21,984.68 "," 2,377.07 "," 8,335.30 "," 8,798.40 "," 2,558.03 "," 11,991.23 "," 338,197.21 ",
2115 Operaciones con pacto de retrocompra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 23,006.02 "," 23,006.02 ",
2116 Préstamos pactados hasta un año plazo," 20,152.06 "," 1,414.20 "," 38,942.81 "," 15,062.94 "," 10,004.87 ", 16.16 ," 18,409.52 "," 47,012.16 "," 2,301.14 "," 38,793.29 "," 10,642.73 "," 9,994.01 "," 20,318.22 "," 233,064.09 ",
2117 Préstamos pactados a más de un año plazo," 156,283.67 "," 65,252.56 "," 57,962.06 "," 33,275.82 ", -   ," 4,968.02 "," 53,258.42 "," 264,856.93 ", -   ," 36,327.87 "," 67,145.83 "," 30,030.93 "," 74,856.34 "," 844,218.43 ",
2118 Préstamos pactados a cinco o mas años plazo," 7,751.51 "," 123,183.12 "," 46,160.73 "," 1,952.07 "," 1,139.82 "," 20,049.57 "," 51,120.20 ", -   ," 6,024.28 ", -   ," 86,276.99 "," 12,081.69 "," 39,164.06 "," 394,904.05 ",
2119 Préstamos subordinados," 70,313.58 ", -   , -   , -   , -   , -   ," 44,807.16 ", -   , -   , -   , -   , -   , -   ," 115,120.74 ",
