Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Julio de 2022,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A. 1/","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"91,205.62","70,724.60","46,957.74","13,519.00","3,009.01","32,011.00","19,368.14","34,686.08","3,950.66","33,109.66","9,359.73","6,092.05","363,993.29"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"39,743.45","47,441.39","26,356.09","7,194.77",889.55,"23,117.24","11,423.11","17,538.37","2,348.20","32,047.00","7,514.30","1,972.58","217,586.06"
2230 Retenciones,"1,810.76","3,867.21","1,151.48",446.39,125.29,217.34,"1,211.50","1,005.41",278.11,139.46,355.71,390.07,"10,998.73"
2240 Provisiones,"28,250.11","11,029.42","5,910.72","4,814.10","1,911.51","3,006.07","3,723.33","8,377.44","1,236.88",358.24,396.63,"3,673.05","72,687.51"
224003 Otras provisiones,"9,191.10",273.16,0.00,725.84,69.50,14.55,"1,490.78","4,049.26",331.62,45.02,0.00,"2,046.96","18,237.78"
2250 Créditos diferidos,"21,401.30","8,386.58","13,539.44","1,063.74",82.66,"5,670.34","3,010.19","7,764.87",87.46,564.96,"1,093.08",56.35,"62,720.99"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"70,675.72",0.00,0.00,0.00,0.00,0.00,"30,611.95",0.00,0.00,0.00,0.00,0.00,"101,287.67"
241 deuda subordinada a plazo fijo,"70,675.72",0.00,0.00,0.00,0.00,0.00,"30,611.95",0.00,0.00,0.00,0.00,0.00,"101,287.67"
2413 deuda subordinada a cinco o mas años,"70,675.72",0.00,0.00,0.00,0.00,0.00,"30,611.95",0.00,0.00,0.00,0.00,0.00,"101,287.67"
Total pasivos,"4,947,548.66","3,390,865.38","2,586,222.38","1,608,832.17","181,470.01","416,554.54","1,226,079.78","2,833,579.73","111,170.56","449,791.26","729,114.98","842,546.39","19,323,775.84"
 ,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,
31 Patrimonio,"524,973.45","348,648.28","305,350.42","133,020.17","35,788.01","41,161.88","108,337.66","283,974.34","25,308.58","62,893.02","112,782.44","95,794.34","2,078,032.62"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","97,418.76","30,000.00","25,205.92","70,788.87","161,000.44","20,333.67","50,000.00","131,598.94","90,000.00","1,328,548.44"
3130 Reservas de capital,"156,935.12","90,187.82","128,256.83","24,518.98","3,848.05","3,306.94","16,075.33","40,250.11","3,260.83","1,795.08","4,233.41","1,582.84","474,251.34"
3140 Resultados por aplicar,"70,538.33","53,758.63","27,093.59","11,082.43","1,939.96","12,649.02","21,473.46","82,723.80","1,714.07","11,097.94","-23,049.91","4,211.50","275,232.83"
314001 Resultados de ejercicios anteriores,803.81,"21,057.71","3,057.58",13.99,"1,291.43","9,257.61","17,611.60","57,854.74",0.24,"7,960.72","-24,369.35","1,911.22","96,451.29"
314002 Resultados del presente ejercicio,"69,734.52","32,700.91","24,036.02","11,068.44",648.54,"3,391.41","3,861.86","24,869.06","1,713.83","3,137.22","1,319.44","2,300.28","178,781.54"
32 Patrimonio restringido,"84,752.73","60,961.97","25,140.22","32,902.16","3,776.70","14,175.90","19,266.60","27,114.04","4,015.76","3,486.54","6,248.14","11,861.55","293,702.29"
3210 Utilidades no distribuibles,"31,450.40","43,853.63","13,081.14","17,924.99","3,462.75",0.00,"15,540.82","21,591.33","4,014.96","3,287.14","4,512.87","6,237.06","164,957.09"
3220 Revaluaciones,"9,004.51","13,997.27","4,371.25","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"43,210.86"
3230 Recuperaciones de activos castigados,0.00,394.70,814.66,"4,106.27",0.00,0.00,175.20,993.88,0.00,0.00,37.00,94.96,"6,616.67"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"44,297.81","2,716.37","6,873.17","5,908.60",313.95,"3,344.64","3,550.58","4,528.83",0.80,199.40,"1,698.27","5,452.55","78,884.97"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"609,726.18","409,610.25","330,490.64","165,922.33","39,564.71","55,337.78","127,604.26","311,088.38","29,324.34","66,379.56","119,030.59","107,655.89","2,371,734.91"
 ,,,,,,,,,,,,,
